model,checkpoint,checkpoint_sha256,u_old,grid_points,root_abs_error_rmse,root_abs_error_q99,root_abs_error_max,out_of_bounds_fraction,prediction_min,prediction_max,maximum_undershoot,maximum_overshoot
$\lambda=0$,final_checkpoint.bin,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,0.0,36200,1.461693191540533e-05,6.864664561599339e-05,0.00015129192378027234,0.07571823204419889,-7.599729424434543e-06,0.9984280016101974,7.599729424434543e-06,0.0
$\lambda=0.01$,final_checkpoint.bin,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,0.0,36200,1.4397483171861698e-05,6.098647103309273e-05,0.0002616478050487814,0.07331491712707182,-8.929780646482754e-06,0.9984207810199245,8.929780646482754e-06,0.0
$\lambda=0.1$,final_checkpoint.bin,e5ed0a6219347698840bdacbc1eef1112636de8a18d5199280d538e9664f35cf,0.0,36200,1.7721807510371337e-05,8.198614383228797e-05,0.00020210643327844835,0.08723756906077348,-1.0572543539311141e-05,0.9984197476575503,1.0572543539311141e-05,0.0
$\lambda=1$,final_checkpoint.bin,f08cada509549668604eb37f4cfa71bdf9c177e1bcb4bcad75b416d9cb3da990,0.0,36200,1.8452344777007348e-05,8.64251050551752e-05,0.0002797625474741383,0.11850828729281768,-9.063263435082902e-06,0.9984181931201042,9.063263435082902e-06,0.0
$\lambda=0$,final_checkpoint.bin,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,0.5,36200,4.553550584699641e-06,1.672366241817718e-05,0.000157957798105679,0.0,0.00043675164998602245,0.9988856256002558,0.0,0.0
$\lambda=0.01$,final_checkpoint.bin,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,0.5,36200,4.493177124882476e-06,2.0085194147133647e-05,5.191633710122101e-05,0.0,0.00044986049127293537,0.9988826696794234,0.0,0.0
$\lambda=0.1$,final_checkpoint.bin,e5ed0a6219347698840bdacbc1eef1112636de8a18d5199280d538e9664f35cf,0.5,36200,9.892900394158071e-06,4.4278737778094164e-05,0.00023682799315682956,0.0,0.0004424712363411132,0.998885596116259,0.0,0.0
$\lambda=1$,final_checkpoint.bin,f08cada509549668604eb37f4cfa71bdf9c177e1bcb4bcad75b416d9cb3da990,0.5,36200,4.099768977777602e-06,1.435452091661877e-05,0.0001024605507695675,0.0,0.00046715458446588976,0.9988820604065982,0.0,0.0
$\lambda=0$,final_checkpoint.bin,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,1.0,36200,1.0705340521477902e-05,5.218294415725301e-05,0.00010693809500117446,0.08198895027624309,0.0006219741202814211,1.0000091912874376,0.0,9.191287437593232e-06
$\lambda=0.01$,final_checkpoint.bin,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,1.0,36200,7.908958746933902e-06,3.443692591854844e-05,6.745055914725295e-05,0.052430939226519334,0.000634365983008478,1.0000097326376864,0.0,9.732637686443724e-06
$\lambda=0.1$,final_checkpoint.bin,e5ed0a6219347698840bdacbc1eef1112636de8a18d5199280d538e9664f35cf,1.0,36200,1.0307355764545756e-05,4.4025648049487174e-05,0.00011269793671653261,0.09696132596685082,0.0006291265296969328,1.0000216871968952,0.0,2.168719689521481e-05
$\lambda=1$,final_checkpoint.bin,f08cada509549668604eb37f4cfa71bdf9c177e1bcb4bcad75b416d9cb3da990,1.0,36200,9.12930498529919e-06,3.731193630660548e-05,8.960768524790552e-05,0.11820441988950277,0.0006321272244385057,1.000014889254099,0.0,1.4889254098982008e-05
