model,deficit_lower,deficit_upper,deficit_median,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
mse,1e-10,3.1622776601683795e-10,1.8001700130554354e-10,4979,0.00018374300214008213,3.3761490835450226e-08,0.00019419943934451567,0.0001965547419402469,2.0407393199167623e-08,2.215400540794832e-08,4.534976266481694e-09
mse,3.1622776601683795e-10,1e-09,5.653859602716693e-10,4908,0.00016970729532241112,2.8800566085648062e-08,0.00018294167691598862,0.00018611298697379652,2.0158587317719345e-08,2.2023934342918494e-08,4.479686070604299e-09
mse,1e-09,3.1622776601683795e-09,1.7637290516958615e-09,4980,0.0001465038762207014,2.14633857476906e-08,0.00016450996262538987,0.00016785795101448286,1.946792119366603e-08,2.1638535407930704e-08,4.3262047097035615e-09
mse,3.1622776601683795e-09,1e-08,5.678840619971481e-09,5133,0.00010798960537816101,1.1661754869730942e-08,0.00013285351656762147,0.0001373530090464925,1.7203277351080007e-08,2.0457606386692362e-08,3.822950522462224e-09
mse,1e-08,3.162277660168379e-08,1.7580567890362886e-08,355,5.478236522167455e-05,3.0011075392809373e-09,8.363461079234469e-05,8.688241323540069e-05,1.1158293646814507e-08,1.6180427997447566e-08,2.479620810403224e-09
mse,3.162277660168379e-08,1e-07,5.624131427239831e-08,395,2.3116460320329763e-05,5.343707377413804e-10,4.6179268615782476e-05,5.135963793634346e-05,8.661493909874145e-09,1.951428663105048e-08,1.924776424416477e-09
mse,1e-07,3.162277660168379e-07,1.6757689202950843e-07,373,4.807294897877139e-05,2.311008423515557e-09,5.9696701739242465e-05,6.932106630941348e-05,2.7250588710516844e-08,4.382438245631448e-08,6.055686380114855e-09
mse,3.162277660168379e-07,1e-06,5.865950366001904e-07,362,2.751240638783422e-05,7.569325052493412e-10,4.6310378157752286e-05,4.945842897186026e-05,3.407977895159491e-08,6.938216678964437e-08,7.573284211465536e-09
mse,1e-06,3.162277660168379e-06,1.680231441869573e-06,417,2.9830367560666766e-05,8.898508288044802e-10,4.620393281342671e-05,4.882420833585144e-05,5.551464020428991e-08,9.903207021100258e-08,1.2336586712064425e-08
mse,3.162277660168379e-06,1e-05,5.475771237439808e-06,387,2.0703383493558383e-05,4.286300880813457e-10,3.437154928370489e-05,3.714423151102153e-05,6.800800448039731e-08,1.1703463398404779e-07,1.5112889884532732e-08
mse,1e-05,3.1622776601683795e-05,1.7841830631915023e-05,371,1.5988911905349653e-05,2.556453039170319e-10,2.6702582163373734e-05,2.794778364723083e-05,9.248804802010272e-08,2.1461352961438251e-07,2.0552899560022824e-08
mse,3.1622776601683795e-05,0.0001,5.622764280233117e-05,362,8.983540514948172e-06,8.070400018371526e-11,1.6350705050562903e-05,2.01960408444668e-05,9.44187979019708e-08,1.9109811044693004e-07,2.098195508932684e-08
