model,dataset,count,prediction_rmse,prediction_mse,absolute_error_q99,maximum_error,residual_rmse,residual_max,capped_residual_rmse
mse,validation,100000,1.2592905405972391e-05,1.5858126656376867e-10,5.5038399604994064e-05,8.851324754743928e-05,7.438714920129897e-07,6.362918452185173e-06,1.6530477600287755e-07
mse,test,20000,1.2466694018194985e-05,1.5541845974329862e-10,5.3895567310507895e-05,8.688241323540069e-05,7.291130637293751e-07,4.656955860313228e-06,1.6202512527318615e-07
mse,test_near_fold,20000,0.0001543047455504683,2.380995449939477e-08,0.0001921458574324175,0.0001965547419402469,1.9332052841526473e-08,2.215400540794832e-08,4.296011742561437e-09
lambda_0p01,validation,100000,1.2577102078452924e-05,1.5818349669182488e-10,5.481376692334945e-05,9.066076337305162e-05,8.901139955433582e-07,8.983167046404194e-06,1.9780311012072715e-07
lambda_0p01,test,20000,1.2474698794167656e-05,1.55618110005208e-10,5.347356635893694e-05,8.613004665258828e-05,8.88655908366736e-07,7.254497952642845e-06,1.974790907481453e-07
lambda_0p01,test_near_fold,20000,0.0001541714244219504,2.376882810829316e-08,0.00019266997836949072,0.0001995446700444603,1.930736179894944e-08,2.274333388285754e-08,4.2905248442109865e-09
lambda_0p1,validation,100000,7.743460566310958e-06,5.996118154201283e-11,3.390665937108287e-05,6.059484455356312e-05,3.889311126357993e-07,4.682659920685148e-06,8.642913614128724e-08
lambda_0p1,test,20000,7.710563583870347e-06,5.945279078090752e-11,3.3372745011845915e-05,5.6952122775122405e-05,3.8526682365906604e-07,4.353893066801463e-06,8.56148497020132e-08
lambda_0p1,test_near_fold,20000,0.0001238533345661276,1.5339648483149136e-08,0.0001582614453230402,0.00016248169580634908,1.3428461985623658e-08,1.5524082686013685e-08,2.9841026634719247e-09
lambda_1,validation,100000,8.46627722027549e-06,7.167784997055568e-11,3.674553221884474e-05,6.602052871329533e-05,3.8491704016583237e-07,4.5275779930709455e-06,8.553712003685032e-08
lambda_1,test,20000,8.414356082273928e-06,7.080138827930024e-11,3.622182836922505e-05,6.216377432721742e-05,3.779229742369332e-07,2.7615882915305034e-06,8.398288316376183e-08
lambda_1,test_near_fold,20000,0.00012909689899235038,1.6666009329441118e-08,0.00016447801262192027,0.00016899631511790858,1.4378876094790057e-08,1.669740101739592e-08,3.1953057988422347e-09
