method,scheme,initial_amplitude,status,nonlinear_updates,residual_evaluations,wall_seconds,initial_outside_exact_cells,max_outside_exact_cells,max_outside_training_a_cells,scaled_physical_residual_inf,pde_residual_inf,lower_rmse,lower_capture
srdm,newton,0,map_converged,3,4,0.06261610001092777,0,0,0,4.63431376607204e-15,8.341764778929672e-12,0.0,True
srdm_linesearch,newton,0,map_converged,3,7,0.06092240000725724,0,0,0,4.63431376607204e-15,8.341764778929672e-12,0.0,True
exact,newton,0,map_converged,3,4,0.06196500000078231,0,0,0,3.1524262367188527e-15,5.674367226093935e-12,9.334203198348987e-15,True
mse,newton,0,map_converged,3,4,0.07917349998024292,0,0,0,2.329050755875764e-06,0.004192291360576375,2.8433349140725957e-05,True
lambda_0p01,newton,0,map_converged,3,4,0.07843560000765137,0,0,0,2.9043154192755216e-06,0.005227767754695939,2.8770758231164437e-05,True
lambda_0p1,newton,0,map_converged,3,4,0.08071360000758432,0,0,0,1.0865436743815252e-06,0.0019557786138867453,1.2379301161388446e-05,True
lambda_1,newton,0,map_converged,3,4,0.08029280000482686,0,0,0,4.1785180247139175e-07,0.0007521332444485052,1.1159500820681914e-05,True
srdm,newton,1,map_converged,3,4,0.06616830002167262,0,0,0,1.7527320740617913e-13,3.1549177333112244e-10,1.7538250483148e-12,True
srdm_linesearch,newton,1,map_converged,3,7,0.07146750000538304,0,0,0,1.7527320740617913e-13,3.1549177333112244e-10,1.7538250483148e-12,True
exact,newton,1,map_converged,3,4,0.07009599998127669,0,0,0,1.246316418124227e-13,2.2433695526236086e-10,1.2720489827214394e-12,True
mse,newton,1,map_converged,3,4,0.08095239999238402,0,0,0,2.329050768981166e-06,0.004192291384166099,2.8433348076054945e-05,True
lambda_0p01,newton,1,map_converged,3,4,0.08123949999571778,0,0,0,2.9043154134759074e-06,0.005227767744256633,2.8770758851623453e-05,True
lambda_0p1,newton,1,map_converged,3,4,0.07798790000379086,0,0,0,1.086543658445488e-06,0.0019557785852018783,1.237930006017364e-05,True
lambda_1,newton,1,map_converged,3,4,0.07910839997930452,0,0,0,4.1785179883714607e-07,0.0007521332379068629,1.1159501844609178e-05,True
srdm,newton,2,map_converged,4,5,0.0868270999926608,0,0,0,2.5977484052752686e-16,4.675947129495484e-13,3.4897616764483237e-14,True
srdm_linesearch,newton,2,map_converged,4,9,0.08860249997815117,0,0,0,2.5977484052752686e-16,4.675947129495484e-13,3.4897616764483237e-14,True
exact,newton,2,map_converged,4,5,0.09480429999530315,0,0,0,3.4867941867133823e-16,6.276229536084088e-13,3.506018594897038e-14,True
