method,scheme,u1_initial,u2_initial,initial_exact_domain,map_converged,lower_capture,nonlinear_updates,lower_max_error,physical_residual_inf,status
exact,picard,0.0,0.0,True,True,True,27,1.0280065687595652e-10,3.473321630309556e-11,map_converged
exact,picard,0.03333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,3.522393487997988e-11,map_converged
exact,picard,0.06666666666666667,0.0,True,True,True,27,1.0280065687595652e-10,3.5718206170543e-11,map_converged
exact,picard,0.1,0.0,True,True,True,27,1.0280065687595652e-10,3.621647426399477e-11,map_converged
exact,picard,0.13333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,3.671873916033519e-11,map_converged
exact,picard,0.16666666666666666,0.0,True,True,True,27,1.0280065687595652e-10,3.7224778814959336e-11,map_converged
exact,picard,0.2,0.0,True,True,True,27,1.0280065687595652e-10,3.773503731707706e-11,map_converged
exact,picard,0.23333333333333334,0.0,True,True,True,27,1.0280065687595652e-10,3.8249514666688356e-11,map_converged
exact,picard,0.26666666666666666,0.0,True,True,True,27,1.0280065687595652e-10,3.876821086379323e-11,map_converged
exact,picard,0.3,0.0,True,True,True,27,1.0280065687595652e-10,3.92913479529966e-11,map_converged
exact,picard,0.3333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,3.981892593429848e-11,map_converged
exact,picard,0.36666666666666664,0.0,True,True,True,27,1.0280065687595652e-10,4.035116685230378e-11,map_converged
exact,picard,0.4,0.0,True,True,True,27,1.0280065687595652e-10,4.088829275161743e-11,map_converged
exact,picard,0.43333333333333335,0.0,True,True,True,27,1.0280065687595652e-10,4.1430081587634504e-11,map_converged
exact,picard,0.4666666666666667,0.0,True,True,True,27,1.0280065687595652e-10,4.197675540495993e-11,map_converged
exact,picard,0.5,0.0,True,True,True,27,1.0280065687595652e-10,4.2528536248198634e-11,map_converged
exact,picard,0.5333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,4.308564616195554e-11,map_converged
exact,picard,0.5666666666666667,0.0,True,True,True,27,1.0280065687595652e-10,4.364808514623064e-11,map_converged
exact,picard,0.6,0.0,True,True,True,27,1.0280065687595652e-10,4.421607524562887e-11,map_converged
exact,picard,0.6333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,4.478961646015023e-11,map_converged
exact,picard,0.6666666666666666,0.0,True,True,True,27,1.0280065687595652e-10,4.536915287900456e-11,map_converged
exact,picard,0.7,0.0,True,True,True,27,1.0280065687595652e-10,4.595490654679679e-11,map_converged
exact,picard,0.7333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,4.6546433374317076e-11,map_converged
exact,picard,0.7666666666666666,0.0,True,True,True,27,1.0280065687595652e-10,4.714462153998511e-11,map_converged
exact,picard,0.8,0.0,True,True,True,27,1.0280065687595652e-10,4.7749471043800895e-11,map_converged
exact,picard,0.8333333333333334,0.0,True,True,True,27,1.0280065687595652e-10,4.8360759841159506e-11,map_converged
exact,picard,0.8666666666666667,0.0,True,True,True,27,1.0280065687595652e-10,4.897915406587572e-11,map_converged
exact,picard,0.9,0.0,True,True,True,27,1.0280065687595652e-10,4.9604875762554457e-11,map_converged
exact,picard,0.9333333333333333,0.0,True,True,True,27,1.0280065687595652e-10,5.023792493119572e-11,map_converged
exact,picard,0.9666666666666667,0.0,True,True,True,27,1.0280065687595652e-10,5.087874566100936e-11,map_converged
exact,picard,1.0,0.0,True,True,True,27,1.0280065687595652e-10,5.15275599966003e-11,map_converged
