iteration,accepted_updates,status,validation_failures,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,mean_objective_gradient_norm,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,cumulative_phase_seconds,checkpoint
1,1,accepted,0,0.00050000000000000001,0.10983753549114098,0.10983753549114098,0.11055945235646411,0.11055945235646411,17.663355094396596,0.50771719999999998,0.048033100000000009,0.45570770000000005,0.017112599999999999,0.037381299999999999,0.0126473,0.0247339,0.56221109999999996,
2,2,accepted,0,0.00025000000000000001,0.043824382206234275,0.043824382206234275,0.044271879045226878,0.044271879045226878,1.2259370821520685,0.53454869999999999,0.053771600000000003,0.47827319999999995,0.0146202,0.035034799999999998,0.011528500000000001,0.023506200000000001,1.1464148000000001,
3,3,accepted,0,0.000125,0.0022067440860588324,0.0022067440860588324,0.0022189385233264583,0.0022189385233264583,1.7330994967785882,0.57133959999999995,0.066527699999999995,0.50165400000000004,0.0114625,0.036092100000000002,0.0115941,0.0244979,1.765309,milestone_0.bin
4,4,accepted,0,6.2500000000000001e-05,0.0006597916025403985,0.0006597916025403985,0.00066623790682256514,0.00066623790682256514,0.24342282695299106,0.51224040000000004,0.053501699999999999,0.45561210000000002,0.0145594,0.040994999999999997,0.0124209,0.028573899999999999,2.3331037999999999,milestone_1.bin
5,5,accepted,0,3.1250000000000001e-05,0.00039294933191228251,0.00039294933191228251,0.00039250326874527646,0.00039250326874527646,0.15863804944329624,0.61083549999999998,0.0618381,0.54489569999999998,0.019556500000000001,0.032906999999999999,0.011620699999999999,0.021286300000000001,2.9964027999999998,
6,6,accepted,0,1.5625e-05,0.00018607866385060364,0.00018607866385060364,0.00018780602058055408,0.00018780602058055408,0.14754227378814405,0.65355640000000004,0.052464200000000002,0.59752169999999993,0.0108871,0.0346155,0.0113592,0.023256200000000001,3.6954617999999999,
7,7,accepted,0,7.8125000000000002e-06,0.00015351711211861421,0.00015351711211861421,0.00015248552796016376,0.00015248552796016376,0.036364292528836085,0.56986570000000003,0.049933199999999997,0.51632120000000004,0.012607200000000001,0.044064600000000002,0.017274500000000002,0.026790000000000001,4.3219992999999999,
8,8,accepted,0,3.9062500000000001e-06,7.328766583651596e-05,7.328766583651596e-05,7.3324977898863805e-05,7.3324977898863805e-05,0.073265052571577532,0.68368589999999996,0.0493537,0.63186079999999989,0.015694400000000001,0.033855400000000001,0.0113483,0.022506999999999999,5.0552349999999997,milestone_2.bin
9,8,rejected,0,3.9062500000000001e-05,7.328766583651596e-05,7.328766583651596e-05,7.3324977898863805e-05,7.3324977898863805e-05,0.042578530389045195,0.55095349999999998,0.042227899999999999,0.50491800000000009,0.0102034,0.011922800000000001,0.011922800000000001,0,5.6283146999999998,
10,9,accepted,0,1.953125e-05,2.2402122793549017e-05,2.2402122793549017e-05,2.2443836340286493e-05,2.2443836340286493e-05,0.042578530389045195,0,0,0,0.0152534,0.033810300000000001,0.0113916,0.0224186,5.6773783999999994,
11,10,accepted,0,9.7656250000000002e-06,1.6218306525926101e-05,1.6218306525926101e-05,1.6308291126176738e-05,1.6308291126176738e-05,0.022347933653967932,0.54749329999999996,0.036509600000000003,0.50789220000000002,0.0097557000000000008,0.037919899999999999,0.011760700000000001,0.026159100000000001,6.2725472999999994,
12,10,rejected,0,9.7656250000000005e-05,1.6218306525926101e-05,1.6218306525926101e-05,1.6308291126176738e-05,1.6308291126176738e-05,0.0096347361178523057,0.57932729999999999,0.037078,0.5394253,0.0097710000000000002,0.011476999999999999,0.0114769,0,6.8731225999999994,
13,11,accepted,0,4.8828125000000003e-05,1.3464219471586912e-05,1.3464219471586912e-05,1.3505648700245598e-05,1.3505648700245598e-05,0.0096347361178523057,0,0,0,0.012174900000000001,0.037176300000000002,0.0130452,0.024131,6.9224737999999997,
14,12,accepted,0,2.4414062500000001e-05,1.2701934189321387e-05,1.2701934189321387e-05,1.2756830902007561e-05,1.2756830902007561e-05,0.0016561708505678228,0.54240319999999997,0.039077800000000003,0.50083359999999999,0.0108307,0.036517000000000001,0.0125504,0.023966600000000001,7.5122247,
15,13,accepted,0,1.2207031250000001e-05,1.1755783749906399e-05,1.1755783749906399e-05,1.1836429298685777e-05,1.1836429298685777e-05,0.0019517726843996752,0.55914149999999996,0.036494499999999999,0.51928280000000004,0.014596,0.035599100000000002,0.0124187,0.023180300000000001,8.1215612999999998,
16,14,accepted,0,6.1035156250000003e-06,1.1176972249869253e-05,1.1176972249869253e-05,1.1295840099378292e-05,1.1295840099378292e-05,0.0039711188465546077,0.55799929999999998,0.036218599999999997,0.51810599999999996,0.015903400000000002,0.032684600000000001,0.0115005,0.021184000000000001,8.728148599999999,
17,14,rejected,0,6.103515625e-05,1.1176972249869253e-05,1.1176972249869253e-05,1.1295840099378292e-05,1.1295840099378292e-05,0.0084810714716532544,0.54323980000000005,0.040641799999999999,0.49912420000000002,0.0105776,0.011465899999999999,0.0114658,0,9.2934318999999999,
