iteration,accepted_updates,status,validation_failures,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,mean_objective_gradient_norm,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,cumulative_phase_seconds,checkpoint
1,0,rejected,0,0.01,3.8871449368040154,3.2147646969932646,3.2292217774824765,3.2292217774824765,20.204320804609512,0.86111320000000002,0.065535499999999997,0.79303489999999999,0.0120474,0.0119215,0.0119215,0,0.88508210000000009,
2,1,accepted,0,0.0050000000000000001,0.59586139005169692,0.37500116868220129,0.37760642058841692,0.37760642058841692,20.204320804609512,0,0,0,0.0102924,0.046971600000000002,0.0239183,0.023053299999999999,0.94234610000000008,
3,2,accepted,0,0.0025000000000000001,0.021263440816010025,0.011650219131720213,0.011936359868467708,0.011936359868467708,8.0131707957283513,0.89958380000000004,0.065079499999999998,0.83194559999999995,0.0100321,0.046306100000000003,0.023147999999999998,0.023157799999999999,1.8982681000000001,
4,3,accepted,0,0.00125,0.001442819017486994,0.00094338614115399675,0.00095183080179902331,0.00095183080179902331,1.1439783304826312,0.89496350000000002,0.085522300000000009,0.80632629999999994,0.0101931,0.046282900000000002,0.023345299999999999,0.022937599999999999,2.8497076000000003,milestone_1.bin
5,4,accepted,0,0.00062500000000000001,0.00063227439267639688,0.00042306861514067562,0.00042752735012359025,0.00042752735012359025,0.077357753690854292,0.94012390000000001,0.066244199999999989,0.87078520000000004,0.0099451999999999995,0.045848100000000003,0.023213899999999999,0.022634100000000001,3.8456248000000004,
6,5,accepted,0,0.00031250000000000001,0.0004133518919779016,0.00028149327793976605,0.00028610977288104491,0.00028610977288104491,0.037320114440377791,0.8883356,0.062496299999999998,0.823098,0.0115634,0.045959600000000003,0.023279600000000001,0.022679899999999999,4.7914834000000006,
7,6,accepted,0,0.00015625,0.00028235133568225838,0.00020166556989263483,0.00020532322766857853,0.00020532322766857853,0.021074049185776822,0.99296709999999999,0.060835400000000005,0.92967259999999996,0.010005699999999999,0.045947300000000003,0.023202,0.0227452,5.8404035000000007,
8,7,accepted,0,7.8125000000000002e-05,0.00019768426106279437,0.00014245181699909295,0.00014390218316579693,0.00014390218316579693,0.042186582151563692,0.90946470000000001,0.061783300000000006,0.84489749999999997,0.0097847000000000003,0.046749199999999998,0.024010900000000002,0.022738299999999999,6.8064021000000006,
9,8,accepted,0,3.9062500000000001e-05,0.00016495225959818488,0.00011897674381654032,0.0001205104511832306,0.0001205104511832306,0.035798713322582255,0.9217052,0.063213900000000003,0.85597590000000001,0.0101032,0.045828599999999997,0.023201300000000001,0.0226272,7.7840391000000002,
10,8,rejected,0,0.00039062500000000002,0.00016495225959818488,0.00011897674381654032,0.0001205104511832306,0.0001205104511832306,0.058807028678829074,0.94912669999999999,0.055033899999999997,0.89100020000000002,0.010327299999999999,0.0117235,0.0117234,0,8.7552166000000007,
11,9,accepted,0,0.00019531250000000001,8.6960906890481325e-05,6.4778150334214717e-05,6.5277877552144442e-05,6.5277877552144442e-05,0.058807028678829074,0,0,0,0.0109765,0.046677799999999998,0.024001399999999999,0.0226763,8.8128709000000001,milestone_2.bin
12,10,accepted,0,9.7656250000000005e-05,7.9748469672224814e-05,6.0987542940154726e-05,6.1595205805522278e-05,6.1595205805522278e-05,0.0042777580873275822,0.99170639999999999,0.060332399999999994,0.9283056999999999,0.010053100000000001,0.045989099999999998,0.023167400000000001,0.022821600000000001,9.8606195000000003,
