DT,converged,NLNSTEPS,LINSTEPS,LNSOLVE TIME (S),NFEVAL,LINEAR_TOL_MISSES,BUDGET_CONTINUATIONS,LINEAR_BREAKDOWNS,LAST_LINTOL,LAST_LINEAR_RELRES
10000,1,20,21,0.021279800000000001,21,0,0,0,9.9999999999999995e-07,1.2966070427890529e-07
20000,1,14,30,0.021571400000000004,15,0,0,0,9.9999999999999995e-07,1.9017581891906203e-15
40000,1,12,29,0.020705100000000001,13,0,0,0,9.9999999999999995e-07,4.0535649260484281e-08
80000,1,12,25,0.018257200000000001,13,0,0,0,9.9999999999999995e-07,1.4410031519794364e-08
160000,1,14,34,0.022715300000000001,15,0,0,0,9.9999999999999995e-07,5.8498090455849337e-08
320000,1,15,31,0.0227171,16,0,0,0,9.9999999999999995e-07,4.0129543663836982e-11
640000,1,19,43,0.031733999999999998,20,0,0,0,0.01,0.0005092335222648222
1280000,1,16,37,0.027285800000000002,17,0,0,0,0.01,0.00028067588138449157
2560000,1,16,42,0.029243399999999999,17,0,0,0,0.01,0.00020220913199306081
5120000,1,19,51,0.034174900000000001,20,0,0,0,0.01,0.00053690456149249935
10240000,1,18,50,0.032338400000000003,19,0,0,0,0.01,0.0078008597014528336
20480000,1,18,50,0.032374,19,0,0,0,2.6636136399890209e-06,3.1644745732625231e-08
40960000,1,21,65,0.0413151,22,1,1,0,0.01,0.0025383871196396198
18090000,1,19,56,0.037296700000000002,20,0,0,0,0.01,0.00057213189579939227
50000000,1,25,80,0.050974800000000015,26,1,1,0,0.00062931987727066771,3.6666038554728784e-05
50000000,1,15,46,0.02817550000000001,16,0,0,0,0.01,0.0068176991445016563
50000000,1,16,43,0.027436599999999995,17,0,0,0,2.3973023988380363e-05,1.7721828660962516e-05
50000000,1,14,55,0.031471000000000006,15,0,0,0,0.00097378342567416821,0.00085730700309492262
50000000,1,13,45,0.025308899999999995,14,0,0,0,0.01,0.0081809930146232133
50000000,1,14,52,0.0303171,15,0,0,0,0.01,0.0077910445962126717
50000000,1,13,47,0.0265753,14,0,0,0,0.01,0.0022770833563536073
50000000,1,13,47,0.027545699999999996,14,0,0,0,0.01,0.0095978148480614211
50000000,1,13,47,0.0281859,14,0,0,0,0.01,0.0087617188189630067
50000000,1,13,48,0.027530599999999995,14,0,0,0,0.01,0.0030667153504443088
50000000,1,14,48,0.0281176,15,0,0,0,0.01,0.0081543548744054967
50000000,1,20,93,0.051187999999999997,21,1,1,0,0.01,0.0065994515223755058
50000000,1,19,78,0.0438553,20,0,0,0,0.01,0.00080217736243555038
50000000,1,13,51,0.028233100000000001,14,0,0,0,0.01,0.0087932238672253638
50000000,1,13,52,0.029507000000000002,14,0,0,0,0.01,0.0020198475582457903
50000000,1,13,53,0.0270659,14,0,0,0,0.01,0.0020378743721683112
50000000,1,14,57,0.033224799999999999,15,0,0,0,0.01,0.0035482228175916968
50000000,1,25,97,0.055162500000000003,26,0,0,0,0.01,0.0025933478496115167
