DT,converged,NLNSTEPS,LINSTEPS,LNSOLVE TIME (S),NFEVAL,LINEAR_TOL_MISSES,BUDGET_CONTINUATIONS,LINEAR_BREAKDOWNS,LAST_LINTOL,LAST_LINEAR_RELRES
10000,1,20,21,0.059771300000000013,21,0,0,0,9.9999999999999995e-07,3.0639473310385894e-07
20000,1,11,24,0.0345028,12,0,0,0,9.9999999999999995e-07,2.3718153320115935e-09
40000,1,16,30,0.050927699999999985,17,0,0,0,9.9999999999999995e-07,1.3219018440843001e-08
80000,1,17,37,0.060335399999999997,18,0,0,0,9.9999999999999995e-07,1.7624620985544104e-07
160000,1,18,29,0.056045499999999998,19,0,0,0,9.9999999999999995e-07,1.4742069752116921e-13
320000,1,12,21,0.030388699999999998,13,0,0,0,2.7413573950969613e-05,1.8224951133219988e-11
640000,1,18,37,0.060192800000000005,19,0,0,0,9.9999999999999995e-07,5.2654034779299758e-09
1280000,1,16,34,0.033152100000000004,17,0,0,0,9.9999999999999995e-07,1.1803952081935559e-07
2560000,1,15,34,0.032938999999999996,16,0,0,0,9.9999999999999995e-07,3.1591370588489661e-07
5120000,1,18,44,0.0469551,19,0,0,0,0.01,0.00045329760817296269
10240000,1,15,38,0.034906900000000005,16,0,0,0,0.0093447074778094299,0.0075703461415399815
20480000,1,15,43,0.044471199999999995,16,0,0,0,0.0034228097773991353,3.3442055092640821e-06
40960000,1,23,72,0.068671800000000005,24,0,0,0,0.01,0.0014636288763002897
18090000,1,18,57,0.045360500000000005,19,0,0,0,0.01,0.00045676362140565274
50000000,1,31,98,0.10202340000000001,32,1,1,0,9.9999999999999995e-07,2.307584420703149e-07
50000000,1,22,65,0.074004600000000004,23,0,0,0,0.0073574093579908623,1.4990783462646091e-05
50000000,1,35,108,0.1108008,36,0,0,0,6.7737201640165857e-06,4.8115897939779755e-08
50000000,1,28,108,0.096854100000000012,29,1,1,0,0.01,0.0025005898527686414
50000000,1,32,104,0.099753700000000001,33,0,0,0,0.01,0.0037128968676585078
50000000,1,32,126,0.13071449999999998,33,0,0,0,0.01,0.0002807296888500502
50000000,1,27,103,0.094610800000000023,28,1,1,0,0.0074560098906531064,0.0007710843653019945
50000000,1,22,98,0.10548569999999999,23,0,0,0,0.01,0.0012462389914071129
50000000,1,18,66,0.065540799999999996,19,0,0,0,9.9999999999999995e-07,9.7448431177249203e-07
50000000,1,44,169,0.15816180000000002,45,5,5,0,9.9999999999999995e-07,2.7487946302761708e-07
50000000,1,35,128,0.12458140000000002,36,3,3,0,9.9999999999999995e-07,6.2702451156416774e-07
50000000,1,38,134,0.12694800000000003,39,3,3,0,9.9999999999999995e-07,7.9057345874153919e-07
50000000,1,38,136,0.12046359999999998,39,6,6,0,9.9999999999999995e-07,9.4035438991788446e-07
50000000,1,35,117,0.10390340000000002,36,0,0,0,1.3097051118502478e-06,1.119234087568446e-06
50000000,1,31,103,0.0974941,32,2,2,0,9.9999999999999995e-07,2.3429662018724693e-05
50000000,1,49,163,0.16787720000000006,50,2,2,0,9.9999999999999995e-07,0.022386372299642805
50000000,1,37,126,0.1200847,38,3,3,0,9.9999999999999995e-07,2.3644540115604422e-07
50000000,1,44,133,0.13510490000000003,45,1,1,0,9.9999999999999995e-07,4.6156134515544338e-07
