time,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,volume_weighted_rmse
100000000,19299,0.002220624966552214,0.0006058477644698283,0.011197558797441526,0.038572961315858856,-4.963362984167219e-06,1.000013750191279,4866,0.0019311030205831233
200000000,19299,0.003102467816376964,0.001058713255636295,0.014509917692641684,0.07642069179989663,-4.963361754706241e-06,1.0000201411436664,3783,0.0029261107869048906
300000000,19299,0.003756997687086584,0.0014166659491037944,0.017655493613531456,0.04686660695779743,-4.963359234944065e-06,1.0000193177690389,4197,0.003902550870825442
400000000,19299,0.004444927214861226,0.001772060678433233,0.020380657702144558,0.04994102348530327,-4.963359234944065e-06,1.0000575365908984,4186,0.004650742162112815
500000000,19299,0.0051509649080774995,0.0021137538360406645,0.0229572842029774,0.06896961121571865,-4.963359234944065e-06,1.0000843325975117,4140,0.005418296814485548
600000000,19299,0.005891411173518631,0.0024457896723338516,0.026129448322621124,0.07788656681834094,-4.963359234944065e-06,1.0000845044312687,4181,0.006069652514077152
700000000,19299,0.006956374447138556,0.002776327700818211,0.03148616100172987,0.09212402355032445,-4.963359234944065e-06,1.000084496374416,4224,0.007070385897802216
800000000,19299,0.00756656768711451,0.002795063732606502,0.03480955584916633,0.11220131643979714,-4.963359234944065e-06,1.0000843311612966,4445,0.007529669498247846
900000000,19299,0.007812067544524535,0.0026700869161957155,0.03687634026770168,0.10365330997524591,-4.963359234944065e-06,1.0000851461459936,4739,0.00757041694061739
1000000000,19299,0.007364779351688495,0.0023192133087882195,0.03481075832212591,0.08476706531690892,-4.963359234944065e-06,1.0003043861738417,5179,0.006945804744759267
