DT,converged,NLNSTEPS,LINSTEPS,LNSOLVE TIME (S),NFEVAL,LINEAR_TOL_MISSES,BUDGET_CONTINUATIONS,LINEAR_BREAKDOWNS,LAST_LINTOL,LAST_LINEAR_RELRES
10000,1,35,83,0.039958,177,0,0,0,1.1982615334124347e-06,3.4538708075471182e-09
20000,0,1001,3501,1.5986581999999978,11917,0,0,0,0.01,0.0019221732563084598
10000,0,1001,3003,1.3892321000000021,11915,0,0,0,0.01,0.0068143232451146974
5000,0,1001,3003,1.4443345000000003,11920,0,0,0,0.01,0.0023418824085641977
2500,0,1001,2507,1.2045240000000021,11933,0,0,0,0.01,0.00050928900904889521
1250,0,1001,2500,1.2000136000000006,11939,0,0,0,0.01,3.9397910444470725e-05
625,0,1001,2001,1.0356901999999979,11954,0,0,0,0.01,0.0013928200276333152
312.5,0,1001,1998,1.0374352000000011,11942,0,0,0,0.01,0.00022921753906646932
156.25,0,1001,1997,1.0380243999999992,11926,0,0,0,0.01,5.0809960255183014e-05
78.125,0,1001,1016,0.75168719999999978,11928,0,0,0,0.01,1.37861189733997e-09
39.0625,0,1001,1502,0.88838390000000267,11928,0,0,0,0.01,1.0445215613181592e-09
19.53125,0,1001,1496,0.90440160000000103,11905,0,0,0,0.01,4.5202931957157975e-10
9.765625,0,1001,1001,0.73354409999999981,11962,0,0,0,0.01,2.1053229169746603e-10
4.8828125,0,1001,1001,0.70231630000000056,11976,0,0,0,0.01,6.867955790470876e-11
2.44140625,0,1001,1001,0.67393459999999972,12002,0,0,0,0.01,2.5841466891935155e-07
1.220703125,1,9,9,0.0058400000000000006,66,0,0,0,0.01,4.7325789889430035e-08
2.44140625,0,1001,1001,0.69837350000000009,20894,0,0,0,0.01,6.7259218750928461e-10
1.220703125,1,3,3,0.0026459999999999999,7,0,0,0,0.01,3.4073922327844094e-09
2.44140625,1,12,12,0.0078022000000000013,50,0,0,0,0.01,5.08459551484096e-10
4.8828125,0,1001,1001,0.68583760000000138,11965,0,0,0,0.01,4.5567736130854309e-13
2.44140625,1,15,15,0.0098136000000000004,141,0,0,0,0.01,1.5138860542452141e-08
4.8828125,0,1001,1004,0.69199949999999999,18869,0,0,0,0.01,6.9457244003964707e-05
2.44140625,1,9,9,0.0059459999999999999,63,0,0,0,0.01,0.0028514443272879683
4.8828125,0,1001,1497,0.88227800000000056,11961,0,0,0,0.01,7.8239594164739634e-09
2.44140625,0,1001,1001,0.71080209999999955,11970,0,0,0,0.01,0.0053575551936454026
1.220703125,1,9,9,0.005764,81,0,0,0,0.01,0.0025486111571419779
2.44140625,1,11,11,0.0075516000000000012,65,0,0,0,0.01,8.619096910275731e-09
4.8828125,0,1001,1001,0.68033260000000007,17895,0,0,0,0.01,2.4774212944136899e-08
2.44140625,0,1001,1001,0.69315360000000015,17896,0,0,0,0.01,6.6550825086531278e-10
1.220703125,1,9,9,0.0058198999999999994,30,0,0,0,0.01,0.00039322180571295352
