DT,converged,NLNSTEPS,LINSTEPS,LNSOLVE TIME (S),NFEVAL,LINEAR_TOL_MISSES,BUDGET_CONTINUATIONS,LINEAR_BREAKDOWNS,LAST_LINTOL,LAST_LINEAR_RELRES
10000,1,25,59,0.16175339999999996,26,0,0,0,9.9999999999999995e-07,2.8571686787583208e-07
20000,1,25,92,0.27350560000000002,26,4,4,0,9.9999999999999995e-07,3.3520925951323338e-05
40000,1,152,889,2.5515966000000008,153,114,114,0,9.9999999999999995e-07,2.5241625372414994e-05
30000,1,183,1148,3.153895700000001,184,151,151,0,9.9999999999999995e-07,5.1985199870339839e-06
80000,1,144,839,2.2805218999999997,145,106,106,0,9.9999999999999995e-07,7.8510414704882419e-05
20000,1,186,1109,3.144428200000001,187,142,142,0,9.9999999999999995e-07,0.0023806669226812353
100000,1,218,1328,3.5452349000000005,219,172,172,0,9.9999999999999995e-07,0.0098991770658656258
100000,1,258,1481,4.0614118999999995,259,185,185,0,9.9999999999999995e-07,0.14898952890508155
100000,1,157,802,2.2913155000000001,158,93,93,0,9.9999999999999995e-07,0.042173978838120608
100000,1,242,1337,4.1531878000000004,243,164,164,0,9.9999999999999995e-07,0.21274389881200848
100000,1,204,1087,3.3834790000000003,205,134,134,0,9.9999999999999995e-07,0.0003233621669704468
100000,1,162,787,2.4641838000000003,163,89,89,0,9.9999999999999995e-07,0.0016526580572717626
100000,1,126,625,2.0500265999999998,127,69,69,0,9.9999999999999995e-07,0.1103550715335694
100000,1,232,1202,3.7485144999999997,233,144,144,0,9.9999999999999995e-07,0.0002577501168681785
