model,time,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,volume_weighted_rmse,volume_weighted_bias
mse_125k,100000000.0,19299,0.00261399231087692,0.0007395271666426444,0.012151657898033618,0.045943458880639,1.5738404519738403e-05,1.000088582674541,260,0.0023741768423705466,-0.00038193812394679344
residual_62k,100000000.0,19299,0.0027938931956852644,0.0007962215840681559,0.013170539197865443,0.03709677000382017,-7.327003247015185e-06,1.0000284819118053,6955,0.002590066255900943,0.00023891958482187437
residual_125k,100000000.0,19299,0.0031976507614322547,0.0008985981704686111,0.015569821758060482,0.046799425046551435,-7.692392766323053e-06,1.0000178755460594,7218,0.0028891035381598405,0.00024911350168344644
mse_125k,200000000.0,19299,0.005298251769046383,0.0018031529275911026,0.02571875161252532,0.06045069212561838,1.1712022179755088e-05,1.000046446071241,260,0.0049512865058207525,-0.0014307891891088555
residual_62k,200000000.0,19299,0.003694290267935915,0.0012869057234145605,0.016961716896041566,0.050482424723380714,-7.326991224410051e-06,1.000024225712743,6071,0.0035239764240093023,0.0003065461400282873
residual_125k,200000000.0,19299,0.003744157150859058,0.0013443087114379778,0.017277591867226404,0.05001717518604265,-7.69239280185019e-06,1.0000233035212707,6202,0.003667006995048145,0.0003519821642303153
mse_125k,300000000.0,19299,0.0071621829738997425,0.0028853642767206257,0.030348798592498404,0.07878265586573918,2.2315717816967506e-06,1.000071807690813,274,0.007186915803774253,-0.002647545908420439
residual_62k,300000000.0,19299,0.0037924293173157812,0.001549992779806335,0.016560751898588362,0.053534786855127026,-7.326991221190404e-06,1.0000418534616218,5795,0.003789926719821334,0.00017494928706393486
residual_125k,300000000.0,19299,0.004956531482873083,0.0018141135408010886,0.019285502177143306,0.08641509847508733,-7.69239280185019e-06,1.0000374073529654,6003,0.004985719492193705,0.00043644820009177017
mse_125k,400000000.0,19299,0.009047219421250932,0.004015768883853936,0.03662147519595987,0.09679720324626528,-5.249022262954206e-06,1.0002937740017335,1273,0.009268795996541603,-0.003965867867791336
