model,beta,partition,count,rmse,signed_mean,max_abs,flux_rmse,oob,root_min,root_max
mse_125k,0.1,sharp_front,1,8.373222903923505e-07,-8.373222903923505e-07,8.373222903923505e-07,4.01927756733117e-07,0,0.09762560040757973,0.09762560040757973
residual_62k,0.1,sharp_front,1,1.7822692697233578e-06,1.7822692697233578e-06,1.7822692697233578e-06,8.555278031320557e-07,0,0.09762560040757973,0.09762560040757973
residual_125k,0.1,sharp_front,1,1.8118952837542501e-06,1.8118952837542501e-06,1.8118952837542501e-06,8.697490544509745e-07,0,0.09762560040757973,0.09762560040757973
residual_continued_best,0.1,sharp_front,1,1.5037405090567724e-06,1.5037405090567724e-06,1.5037405090567724e-06,7.21827007610365e-07,0,0.09762560040757973,0.09762560040757973
mse_125k,0.1,near_front,64,5.858971410432465e-06,3.869475053481022e-06,1.2773958565429067e-05,2.6793566084799884e-06,0,0.08424931040211119,0.1071477781417466
residual_62k,0.1,near_front,64,1.1164830058530755e-05,6.0683854003016485e-06,2.2094085710008815e-05,4.890556994020263e-06,0,0.08424931040211119,0.1071477781417466
residual_125k,0.1,near_front,64,1.0826345522180821e-05,6.337205839744911e-06,2.1800546470149285e-05,4.754483742797155e-06,0,0.08424931040211119,0.1071477781417466
residual_continued_best,0.1,near_front,64,8.219193525798636e-06,2.1646490278460356e-06,1.611500884245165e-05,3.6432877087267752e-06,0,0.08424931040211119,0.1071477781417466
mse_125k,1.0,sharp_front,1,3.0582485138763715e-06,3.0582485138763715e-06,3.0582485138763715e-06,3.1435821445935375e-06,0,0.5400530539156227,0.5400530539156227
residual_62k,1.0,sharp_front,1,3.3096528673226544e-07,-3.3096528673226544e-07,3.3096528673226544e-07,3.40200770276855e-07,0,0.5400530539156227,0.5400530539156227
residual_125k,1.0,sharp_front,1,2.051687757465004e-07,2.051687757465004e-07,2.051687757465004e-07,2.1089388474448967e-07,0,0.5400530539156227,0.5400530539156227
residual_continued_best,1.0,sharp_front,1,1.9101527211073943e-06,-1.9101527211073943e-06,1.9101527211073943e-06,1.9634566407189524e-06,0,0.5400530539156227,0.5400530539156227
mse_125k,1.0,near_front,64,9.447167863856697e-06,5.482660068890401e-06,1.9009576006645545e-05,1.0205631373183786e-05,0,0.47231532691983663,0.5449910595978152
residual_62k,1.0,near_front,64,1.0070252200017973e-05,6.776934461897623e-06,1.678787224912437e-05,1.0487004769237837e-05,0,0.47231532691983663,0.5449910595978152
residual_125k,1.0,near_front,64,1.3485040662927924e-05,1.0181133232799525e-05,2.1942312685596654e-05,1.4051349571396935e-05,0,0.47231532691983663,0.5449910595978152
residual_continued_best,1.0,near_front,64,7.160903354936712e-06,3.2768996836435305e-06,1.147978135940253e-05,7.493314469381033e-06,0,0.47231532691983663,0.5449910595978152
mse_125k,10.0,sharp_front,1,2.798349193477989e-07,-2.798349193477989e-07,2.798349193477989e-07,3.1688120972761524e-06,0,0.9983871892960448,0.9983871892960448
residual_62k,10.0,sharp_front,1,3.4106684587698055e-08,3.4106684587698055e-08,3.4106684587698055e-08,3.862502765406006e-07,0,0.9983871892960448,0.9983871892960448
residual_125k,10.0,sharp_front,1,5.124822441970878e-07,5.124822441970878e-07,5.124822441970878e-07,5.804449479507312e-06,0,0.9983871892960448,0.9983871892960448
residual_continued_best,10.0,sharp_front,1,3.498925436051792e-07,3.498925436051792e-07,3.498925436051792e-07,3.962770435572693e-06,0,0.9983871892960448,0.9983871892960448
