model,time,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,volume_weighted_rmse,volume_weighted_bias
mse_125k,100000.0,44915,0.01440288517006956,0.006780948475541898,0.058646088611655635,0.073541357677814,-5.249012755448312e-06,1.0000199328445611,3079,0.012584064173898613,-0.005470428643359657
residual_125k,100000.0,44915,0.0050065749348435235,0.0024204467521529577,0.019971802687130953,0.04292211039220728,-7.692390630475998e-06,1.0000216099316952,10770,0.004560675832938934,-0.0020169847522991447
mse_125k,200000.0,44915,0.022721880217767047,0.013148702632183228,0.07886955459359528,0.10192783477211365,-4.560365346462092e-07,1.0003085071504003,229,0.020550998169267573,-0.011484658943338428
residual_125k,200000.0,44915,0.005212964423362715,0.003121393991422347,0.018464992102497656,0.040123690898498876,-7.649991974556514e-06,1.0000500181058767,8292,0.0050361450471891256,-0.0028322426556930203
mse_125k,300000.0,44915,0.02686059842130734,0.01725776848912157,0.07650048332468927,0.08937044589967658,-1.8064479626600459e-06,1.0000274797446567,524,0.025199471096738146,-0.01601477165680544
residual_125k,300000.0,44915,0.005382361479999325,0.0034000281834758836,0.017151920951099343,0.03274817740365987,-7.692288684024719e-06,1.0000201530721964,5070,0.005282969909150089,-0.0032600799351916016
mse_125k,400000.0,44915,0.030508336931971847,0.019845798058543508,0.08420817202425428,0.09784017207829054,-5.03089954528857e-06,1.000028782350752,598,0.029282925165172786,-0.019208553479656023
residual_125k,400000.0,44915,0.00488237913313319,0.0029475286914465667,0.01764095221025635,0.03824032713087555,-7.692139503578943e-06,1.0000233136964662,5419,0.004993692082284187,-0.0029953596371449813
mse_125k,500000.0,44915,0.03194767675965336,0.020659240337544224,0.08744180571459886,0.10753694419641191,-5.248886852160517e-06,1.0000293233047493,582,0.03119477001581017,-0.020674846675665534
residual_125k,500000.0,44915,0.003575516981901495,0.002118322851285507,0.012112038224729222,0.042061349730751374,-7.692076349430366e-06,1.000023525330982,6261,0.004054459905347407,-0.002178885371895127
mse_125k,600000.0,44915,0.03286815965503604,0.021027733045630933,0.0877616333819105,0.12151583321965576,-5.248879359487368e-06,1.0000293233047493,536,0.03261239648230542,-0.021587267957968576
residual_125k,600000.0,44915,0.0032194085373280197,0.001674988478800891,0.012969490024608291,0.04647526836555771,-7.691056268743779e-06,1.0000308096100265,7236,0.0036357242865662108,-0.00130151733284134
mse_125k,700000.0,44915,0.0341472280913711,0.021595884457479318,0.09185501931225136,0.12733507413546008,-5.248865184603879e-06,1.0000683769545389,485,0.03437411195031331,-0.0226256991345128
residual_125k,700000.0,44915,0.0038001809293350527,0.0016989156352032113,0.017250186366708827,0.046487941343830164,-7.691056268743779e-06,1.0000352264546373,7909,0.003853563462775467,-0.0006703676169465576
mse_125k,800000.0,44915,0.03529386110257823,0.021843873751300837,0.09716188832024318,0.1403915229540914,-5.248850197481225e-06,1.0000293233047493,441,0.03583295303510621,-0.0232434672125141
residual_125k,800000.0,44915,0.004310628625290461,0.0017696589638404186,0.019209557790919714,0.05901354428513472,-7.691056268743779e-06,1.0000444728442783,8688,0.00396109712945518,-0.0001655768010778652
mse_125k,900000.0,44915,0.03608124689612769,0.02156402553031859,0.10451135225540513,0.13974651467267996,-5.248834403892566e-06,1.0001770626967126,419,0.03696346786573271,-0.02333963088865432
residual_125k,900000.0,44915,0.004672061383260999,0.0018470108415757894,0.021677900906949304,0.05303266174634136,-7.691056268743779e-06,1.0000465048117633,9660,0.004145624685595929,0.0003857672774777151
mse_125k,1000000.0,44915,0.036871705840994314,0.021084123296076326,0.10966852141988515,0.14715921589632985,-5.248817802061545e-06,1.0000511432308785,422,0.037994387543701165,-0.023161975311990546
residual_125k,1000000.0,44915,0.005383139426277824,0.0020805733092815865,0.024184424744106266,0.05058165730255426,-7.691056268743779e-06,1.0000547178094323,10609,0.0048994312309439,0.0009274560345646898
