case,model,producer,time,reference,prediction
EDFM,mse_125k,PROD_1,0.0,0.0,0.0
EDFM,mse_125k,PROD_1,100000000.0,0.0,9.377768841516053e-09
EDFM,mse_125k,PROD_1,200000000.0,8.7001090442871e-05,8.903658409670496e-05
EDFM,mse_125k,PROD_1,300000000.0,0.009417879751338168,0.009240988661524908
EDFM,mse_125k,PROD_1,400000000.0,0.05853770937265256,0.057088137970954696
EDFM,mse_125k,PROD_1,500000000.0,0.14988161359059415,0.1462626531910915
EDFM,mse_125k,PROD_1,600000000.0,0.26063073703202067,0.25348690699499654
EDFM,mse_125k,PROD_1,700000000.0,0.3708902042637535,0.3577989927854062
EDFM,mse_125k,PROD_1,800000000.0,0.4729121216112412,0.45156213658674493
EDFM,mse_125k,PROD_1,900000000.0,0.5678998207237131,0.5349342599622213
EDFM,mse_125k,PROD_1,1000000000.0,0.6607739330262489,0.6132068273004392
EDFM,mse_125k,FIELD_TOTAL,0.0,0.0,0.0
EDFM,mse_125k,FIELD_TOTAL,100000000.0,0.0,9.377768841516053e-09
EDFM,mse_125k,FIELD_TOTAL,200000000.0,8.7001090442871e-05,8.903658409670496e-05
EDFM,mse_125k,FIELD_TOTAL,300000000.0,0.009417879751338168,0.009240988661524908
EDFM,mse_125k,FIELD_TOTAL,400000000.0,0.05853770937265257,0.057088137970954696
EDFM,mse_125k,FIELD_TOTAL,500000000.0,0.14988161359059415,0.1462626531910915
EDFM,mse_125k,FIELD_TOTAL,600000000.0,0.26063073703202067,0.25348690699499654
EDFM,mse_125k,FIELD_TOTAL,700000000.0,0.3708902042637535,0.3577989927854062
EDFM,mse_125k,FIELD_TOTAL,800000000.0,0.4729121216112412,0.45156213658674493
EDFM,mse_125k,FIELD_TOTAL,900000000.0,0.5678998207237131,0.5349342599622213
EDFM,mse_125k,FIELD_TOTAL,1000000000.0,0.6607739330262489,0.6132068273004392
EDFM,residual_125k,PROD_1,0.0,0.0,0.0
EDFM,residual_125k,PROD_1,100000000.0,0.0,2.7614014489104245e-09
EDFM,residual_125k,PROD_1,200000000.0,8.7001090442871e-05,0.0001032636673370748
EDFM,residual_125k,PROD_1,300000000.0,0.009417879751338168,0.009962300057106748
EDFM,residual_125k,PROD_1,400000000.0,0.05853770937265256,0.06007036538084699
EDFM,residual_125k,PROD_1,500000000.0,0.14988161359059415,0.15211208013988994
EDFM,residual_125k,PROD_1,600000000.0,0.26063073703202067,0.2643745110363329
EDFM,residual_125k,PROD_1,700000000.0,0.3708902042637535,0.37899993714444635
EDFM,residual_125k,PROD_1,800000000.0,0.4729121216112412,0.4902936357213555
EDFM,residual_125k,PROD_1,900000000.0,0.5678998207237131,0.5969074063076288
EDFM,residual_125k,PROD_1,1000000000.0,0.6607739330262489,0.702407696061668
EDFM,residual_125k,FIELD_TOTAL,0.0,0.0,0.0
EDFM,residual_125k,FIELD_TOTAL,100000000.0,0.0,2.7614014489104245e-09
EDFM,residual_125k,FIELD_TOTAL,200000000.0,8.7001090442871e-05,0.0001032636673370748
EDFM,residual_125k,FIELD_TOTAL,300000000.0,0.009417879751338168,0.009962300057106748
EDFM,residual_125k,FIELD_TOTAL,400000000.0,0.05853770937265257,0.06007036538084699
EDFM,residual_125k,FIELD_TOTAL,500000000.0,0.14988161359059415,0.15211208013988994
EDFM,residual_125k,FIELD_TOTAL,600000000.0,0.26063073703202067,0.2643745110363329
EDFM,residual_125k,FIELD_TOTAL,700000000.0,0.3708902042637535,0.37899993714444635
EDFM,residual_125k,FIELD_TOTAL,800000000.0,0.4729121216112412,0.4902936357213555
EDFM,residual_125k,FIELD_TOTAL,900000000.0,0.5678998207237131,0.5969074063076288
EDFM,residual_125k,FIELD_TOTAL,1000000000.0,0.6607739330262489,0.702407696061668
EDFM,residual_continued_best,PROD_1,0.0,0.0,0.0
EDFM,residual_continued_best,PROD_1,100000000.0,0.0,2.5248247945452777e-09
EDFM,residual_continued_best,PROD_1,200000000.0,8.7001090442871e-05,9.074456077418422e-05
EDFM,residual_continued_best,PROD_1,300000000.0,0.009417879751338168,0.009499251422740428
EDFM,residual_continued_best,PROD_1,400000000.0,0.05853770937265256,0.058598906877242805
EDFM,residual_continued_best,PROD_1,500000000.0,0.14988161359059415,0.1496297488402553
EDFM,residual_continued_best,PROD_1,600000000.0,0.26063073703202067,0.25988287898765594
EDFM,residual_continued_best,PROD_1,700000000.0,0.3708902042637535,0.36999882058121714
EDFM,residual_continued_best,PROD_1,800000000.0,0.4729121216112412,0.4741405329555395
EDFM,residual_continued_best,PROD_1,900000000.0,0.5678998207237131,0.5761915599692884
EDFM,residual_continued_best,PROD_1,1000000000.0,0.6607739330262489,0.6684237833153812
EDFM,residual_continued_best,FIELD_TOTAL,0.0,0.0,0.0
EDFM,residual_continued_best,FIELD_TOTAL,100000000.0,0.0,2.5248247945452777e-09
EDFM,residual_continued_best,FIELD_TOTAL,200000000.0,8.7001090442871e-05,9.074456077418422e-05
EDFM,residual_continued_best,FIELD_TOTAL,300000000.0,0.009417879751338168,0.009499251422740428
EDFM,residual_continued_best,FIELD_TOTAL,400000000.0,0.05853770937265257,0.058598906877242805
EDFM,residual_continued_best,FIELD_TOTAL,500000000.0,0.14988161359059415,0.1496297488402553
EDFM,residual_continued_best,FIELD_TOTAL,600000000.0,0.26063073703202067,0.25988287898765594
EDFM,residual_continued_best,FIELD_TOTAL,700000000.0,0.3708902042637535,0.36999882058121714
EDFM,residual_continued_best,FIELD_TOTAL,800000000.0,0.4729121216112412,0.4741405329555395
EDFM,residual_continued_best,FIELD_TOTAL,900000000.0,0.5678998207237131,0.5761915599692884
