model,checkpoint,dataset,checkpoint_sha256,dataset_sha256,count,representation_limited_count,physical_mse,physical_mae,physical_rmse,physical_abs_error_q99,physical_max_abs_error,prediction_min,prediction_max,nonfinite_prediction_count,out_of_bounds_count,in_bounds_fraction,physics_residual_rmse_in_bounds,physics_residual_max_abs_in_bounds,normalized_supervised_mse,root_jacobian_normalized_recurrence_mse,objective_recurrence_mse,composite_objective_mse_equivalent
MSE,final_checkpoint.bin,validation,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,3724183b6ae26de9f3b4b3928f50152544bf24644f4601403a3f9177472bb36f,100000,0,2.171356512792887e-11,2.444017082396137e-06,4.6597816609717744e-06,1.9786942962441878e-05,0.00010609902183378317,-7.57770645476441e-06,1.0000070436859123,0,129,0.99871,0.458739936423703,12.387603031708553,8.685426051171548e-11,4.767265606624716e-10,4.767265606624716e-10,8.685426051171548e-11
MSE,final_checkpoint.bin,uniform,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,2912b6dc621a963ace241f754c7dbab5cac4d6cf56a86687891da58a01125047,20000,0,2.4881022863618152e-12,1.1786897816769188e-06,1.5773719556153569e-06,4.899889104703475e-06,1.1660080407326773e-05,0.0023807657207095545,0.9886029794049223,0,0,1.0,1.2964967175969424,11.242045568574554,9.952409145447261e-12,9.952280343793678e-12,9.952280343793678e-12,9.952409145447261e-12
MSE,final_checkpoint.bin,edge,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,1b881296ecc1a4912a687bdea2cf0a5fbb1ee8ed0a876c925f9a8b686947cbc3,20000,0,9.524967016849407e-12,2.0808672223086213e-06,3.086254528850368e-06,1.0069398920925494e-05,5.950144735000773e-05,2.400708822891673e-05,0.9998900256214116,0,0,1.0,1.250200966645933,13.28056410288306,3.809986806739763e-11,3.7781669120370494e-11,3.7781669120370494e-11,3.809986806739763e-11
MSE,final_checkpoint.bin,log_beta,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,7fb00d4198bdda2ae81711831044a4c01b9c988594ac362f314caa5b7af297de,20000,0,3.140080547743559e-11,2.8797707791990785e-06,5.603642161794023e-06,2.194259074712691e-05,0.00010552820398901375,0.0004164187613069359,0.998711568829852,0,0,1.0,0.3226519789430572,8.84413717645044,1.2560322190974237e-10,1.256028060944356e-10,1.256028060944356e-10,1.2560322190974237e-10
MSE,final_checkpoint.bin,target_tail,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,553d45caeb507f79a13ff11a438933493b7d159df3b49891cb347f9e84a7cb7d,20000,0,3.436692818302483e-11,3.1216334473252515e-06,5.86233129250001e-06,2.491948850669821e-05,6.527123777544386e-05,1.2700140462174048e-05,0.999989497818067,0,0,1.0,0.7393508821549213,11.167885674616148,1.3746771273209932e-10,1.9936999577895592e-09,1.9936999577895592e-09,1.3746771273209932e-10
MSE,final_checkpoint.bin,balanced_transport,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,5effab5d1293de45eb075290926b2e9d6a5a1f4fdf4a7326c4e7bd2e107bec39,20000,0,2.2887119782836202e-11,2.463514409858357e-06,4.78404847204083e-06,2.0570781935394775e-05,9.34849765945045e-05,-4.009438106189478e-06,1.000002090542429,0,28,0.9986,0.47265443380585465,10.689061246247414,9.154847913134481e-11,6.497844439169138e-10,6.497844439169138e-10,9.154847913134481e-11
Residual $\lambda=0.01$,final_checkpoint.bin,validation,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,3724183b6ae26de9f3b4b3928f50152544bf24644f4601403a3f9177472bb36f,100000,0,1.9442606221581454e-11,2.250521344171983e-06,4.409377078633835e-06,1.8491385893000788e-05,0.0001958074517870445,-7.344264927544586e-06,1.0000096654564237,0,225,0.99775,0.5731408661359385,17.509185277140404,7.777042488632582e-11,1.269618574490876e-10,1.2696185599251738e-10,7.904004344625099e-11
Residual $\lambda=0.01$,final_checkpoint.bin,uniform,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,2912b6dc621a963ace241f754c7dbab5cac4d6cf56a86687891da58a01125047,20000,0,2.815813201912758e-12,1.2912030473517691e-06,1.6780384983404754e-06,4.971189521925096e-06,1.4586483968345026e-05,0.002391062946593747,0.9886045494024148,0,0,1.0,1.68277822553975,16.73957981392793,1.1263252807651032e-11,1.1263280428166455e-11,1.126328042776634e-11,1.1375885611928696e-11
Residual $\lambda=0.01$,final_checkpoint.bin,edge,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,1b881296ecc1a4912a687bdea2cf0a5fbb1ee8ed0a876c925f9a8b686947cbc3,20000,0,8.939896511745306e-12,2.0073385272882838e-06,2.98996597167013e-06,9.621548982171478e-06,4.7350074885876836e-05,1.9056585680021776e-05,0.9998729388148365,0,0,1.0,1.685884258480107,19.981086380301594,3.5759586046981223e-11,3.5535617137852315e-11,3.5535617117998314e-11,3.6114942218161204e-11
Residual $\lambda=0.01$,final_checkpoint.bin,log_beta,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,7fb00d4198bdda2ae81711831044a4c01b9c988594ac362f314caa5b7af297de,20000,0,3.2232320738201534e-11,2.8431739078096157e-06,5.677351560208469e-06,2.2281128426933068e-05,0.0002387784162074802,0.0004224775817075477,0.998710238142026,0,0,1.0,0.41534666894136124,15.100394163855864,1.2892928295280613e-10,1.2892662497792105e-10,1.2892662260680162e-10,1.3021854917887416e-10
