case,arm,dt,beta,status,repetitions,failures,process_wall_seconds_median,process_wall_seconds_min,process_wall_seconds_max,nonlinear_updates,linear_iterations,function_evaluations,checkpoint_sha256,accuracy_reference,reference_snapshot_sha256,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,rmse_vs_independent_oracle,physical_step_residual_rmse,physical_step_residual_max,mass_balance_defect,active_cells,active_region_rmse,max_undershoot,max_overshoot,training_iteration,training_accepted_updates,training_instrumented_seconds_to_checkpoint,training_instrumented_seconds_charged,training_hours,training_trace_sha256,local_validation_rmse,local_validation_mse,reference_path_local_rmse
exact_cris,exact_cris,50,75.0,completed,5,0,0.7896054000000277,0.7862251999999899,0.7946308999999019,267,267,268,,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.0,0.0,0.0,0.0,0.0,0.8548642490116648,0,4.720140647182293e-14,4.729688333570776e-14,1.0554441347779962e-12,-1.0516032489249483e-12,266,3.007838405394485e-16,0.0,0.0,,,,,,,,,
mse_checkpoint_13,MSE,50,75.0,completed,5,0,0.36891209999998864,0.3604593999999679,0.3827097999999296,84,90,85,703b7640024fc653e0b36f0a75ac6d884abb28e96b2eb9d85eb6cbea947d0db6,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.567649050142483,0.5359861850671139,0.6835499485566745,0.6835499485566748,0.6835499485566715,0.8540340446054853,0,0.5676490501424806,0.6760804747174417,0.6835499485567068,337.06941737222274,266,0.44119811943695897,0.0,0.0,13,11,5.7687924,5.7687924,0.0016024423333333333,621b512f2ad0084f3017742caebfd335b461eb3c78305aceb4eaa5454bb13e60,0.013266996902300763,0.00017601320680565803,0.020834277417306746
mse_checkpoint_208,MSE,50,75.0,completed,5,0,0.3841380000000072,0.37304919999996855,0.39474089999998796,104,104,105,a7e796aaba641469a133f252d1a7675ee04f6f4cf6bd4d21caf7672ecbc2ba1b,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.020028912063484377,0.011675456865649162,0.06272598484764005,0.06315443079794679,0.0023733414786050178,0.8548631345319655,0,0.02002891206347846,0.02186507922550601,0.05334905303159754,5.821098086797576,266,0.024754528837219538,0.0,0.0,208,162,86.65224479999995,86.65224479999995,0.024070067999999986,621b512f2ad0084f3017742caebfd335b461eb3c78305aceb4eaa5454bb13e60,0.0004978958812917561,2.4790030860729445e-07,0.001557966875159455
mse_checkpoint_1338,MSE,50,75.0,completed,5,0,0.39756920000002083,0.3779771999999184,0.4079680999999482,114,120,115,9fb07d8c293cdb67ac1340a6786b38852058900169a84ca9040659929328949e,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.0006820589509326909,0.0004682658611531677,0.00217909293828516,0.002214320105390938,0.00018401075637227001,0.8548710536428612,0,0.0006820589509320266,0.0019009185835429869,0.005173444707190222,-0.12439284842015752,266,0.0009190525596088331,0.0,0.0,1338,1032,564.2231182999986,564.2231182999986,0.15672864397222186,621b512f2ad0084f3017742caebfd335b461eb3c78305aceb4eaa5454bb13e60,4.996335091910765e-05,2.4963364350658953e-09,0.0001263288127580148
mse_checkpoint_4680,MSE,50,75.0,completed,5,0,0.430788800000073,0.4125315999999657,0.4597587000000658,157,163,158,6c58f898f1ff92127ba4436d423677262c317ad9712844954596f4dbb71d954d,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.000292717443324733,0.00015442620497775367,0.0008312636567768512,0.0008390603268217667,5.506372403152202e-06,0.8548613865292046,0,0.0002927174433246441,0.0008603404946305178,0.003007044598808045,-0.05954768290131085,266,0.00040128860259476887,0.0,0.0,4680,3602,1989.4050833999984,1989.4050833999984,0.5526125231666662,621b512f2ad0084f3017742caebfd335b461eb3c78305aceb4eaa5454bb13e60,1.581105410889839e-05,2.499894320345127e-10,1.386215364873759e-05
mse_final,MSE,50,75.0,completed,5,0,0.5247190000000046,0.5086265999999569,0.5260834000000614,267,267,268,374222a9d79571f5763ae181529e3e69a7eef3e0d3c410caeeddb25e7a775111,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,3.072767910696638e-05,1.7399683094834733e-05,0.00012522989107886364,0.0001664671881869348,-1.8468688480766104e-06,0.8548646963863804,234,3.0727679107094905e-05,0.00011608446504145312,0.0005379310170126814,-0.0032600873288970433,266,4.209268355829191e-05,1.8468688480766104e-06,0.0,26011,19998,11160.667951500005,11161.617571200004,3.1004493253333343,621b512f2ad0084f3017742caebfd335b461eb3c78305aceb4eaa5454bb13e60,4.6597816609717744e-06,2.171356512792887e-11,4.752897498525373e-06
residual_lambda_0p01_final,0.01,50,75.0,completed,5,0,0.5303112000000283,0.5279325999999855,0.5675878000000694,267,267,268,37e6659beb435841d5389319ee513da843bdd51f2d46429d8c409fca14206535,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,6.402589499183372e-05,3.913711912726626e-05,0.0002021298473405171,0.0002465891739399581,-8.94979109899996e-06,0.8548635951002347,234,6.40258949921762e-05,0.00027545396026252997,0.0010083067264303747,0.008554381727122973,266,8.737862016057283e-05,8.94979109899996e-06,0.0,26013,20000,23188.62210660025,23232.22205640024,6.453395015666733,2500a943902edcbb039a4bd34280ed652b2b46033df3db8f8dc3174df0dfa625,4.409377078633835e-06,1.9442606221581454e-11,8.134233771412322e-06
residual_lambda_0p1_final,0.1,50,75.0,completed,5,0,0.5190152000000126,0.5018827000000101,0.5757885999998962,267,267,268,e5ed0a6219347698840bdacbc1eef1112636de8a18d5199280d538e9664f35cf,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,8.037505644317751e-05,4.907683365567496e-05,0.00020719775670406337,0.00020776993783189202,-5.556162771647166e-06,0.8548647241009171,234,8.037505644340685e-05,0.0003558686877523717,0.001144947349391412,0.018922045389956565,266,0.00011007263517529983,5.556162771647166e-06,0.0,26014,20000,21315.938104900033,21315.938104900033,5.921093918027787,ed18f52d51b153d930b0ec06b571de16315ac551350df313e5bb33429a289414,7.4930553582098435e-06,5.614587860119724e-11,9.118957359929173e-06
residual_lambda_1_final,1,50,75.0,completed,5,0,0.43287469999995665,0.4197600999999622,0.45148359999996046,155,161,156,f08cada509549668604eb37f4cfa71bdf9c177e1bcb4bcad75b416d9cb3da990,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.00012683873529349218,8.19277369132183e-05,0.0003638923402739921,0.00040959530018053886,6.421717522187009e-06,0.8548638095628489,0,0.00012683873529346727,0.00037535680375874665,0.001192796312132094,0.018647498849503563,266,0.00017379426736378672,0.0,0.0,26013,19999,20372.98275669996,20373.87879779996,5.659410777166656,ac7c4615c90d06ddf737227442febd6aa04e2ec176640e919fa3534af6a88372,6.2324985560778545e-06,3.884403825151254e-11,6.920779131452305e-06
residual_lambda_0p01_checkpoint_913,0.01,50,75.0,completed,5,0,0.40996339999992415,0.39853740000000926,0.4416657000000441,102,108,103,546ce2ca459e2253be16a853554d3dccf74fae96a67224f6d4bc70b247a93513,exact_cris,6bf954ad1beb7d66216059c6a596ecfe7a58b8ff4767e471e5e0559bd1b9f7bc,500,0.01028435136103365,0.00576879114528107,0.036190067333152345,0.03752076102759004,0.0020399010024564346,0.8549028701526113,0,0.010284351361027785,0.025332832103264664,0.08985957437812903,2.4182995682636914,266,0.01352510879979191,0.0,0.0,913,704,669.2386179000008,669.2386179000008,0.18589961608333355,2500a943902edcbb039a4bd34280ed652b2b46033df3db8f8dc3174df0dfa625,0.0004993743847245673,2.493747761190402e-07,0.001360131387591516
