beta,N,h,dt,time,method,saturation_min,saturation_max,total_L1,discretization_L1,vs_discrete_L1,vs_discrete_over_discretization_L1,total_L2,discretization_L2,vs_discrete_L2,vs_discrete_over_discretization_L2,total_Linf,discretization_Linf,vs_discrete_Linf,vs_discrete_over_discretization_Linf
1,100,10.0,10.0,100.0,SRDM,0.05,0.25,0.0026342450188945755,0.0026342450188946,2.0317081350640365e-16,7.712677144651471e-14,0.010841846142542981,0.010841846142543028,4.860099567183502e-16,4.482723240383056e-14,0.07086351740223272,0.07086351740223103,2.0539125955565396e-15,2.898406219237256e-14
1,100,10.0,10.0,100.0,CRIS,0.05001346257857426,0.2500419742813401,0.002648684680373423,0.0026342450188946,2.3076252809499515e-05,0.008760101146241487,0.010844568287974608,0.010841846142543028,2.8504714815864757e-05,0.002629138473383536,0.07094137430616765,0.07086351740223103,9.178135203881388e-05,0.0012951848201077905
1,100,10.0,10.0,200.0,SRDM,0.05,0.25,0.0036518241535288087,0.0036518241535288126,4.497791028512665e-16,1.231655972308081e-13,0.013982033856125276,0.013982033856125016,1.129550482168824e-15,8.078584945451333e-14,0.08406686857284883,0.08406686857284267,6.161737786669619e-15,7.329567392331935e-14
1,100,10.0,10.0,200.0,CRIS,0.05002695999192489,0.250068752037003,0.003673858290626711,0.0036518241535288126,4.943228008866852e-05,0.01353632541175384,0.013990570451702869,0.013982033856125016,6.801551973091188e-05,0.004864493994993209,0.08431471776306661,0.08406686857284267,0.00025329575717218666,0.003013027146987279
1,200,5.0,5.0,100.0,SRDM,0.05,0.25,0.0018259120767644102,0.0018259120767644874,3.0035002263062436e-16,1.644931464404595e-13,0.009886790954446122,0.009886790954445938,8.081626691385773e-16,8.17416564042106e-14,0.08406686857284996,0.0840668685728438,6.161737786669619e-15,7.329567392331835e-14
1,200,5.0,5.0,100.0,CRIS,0.05002695999191769,0.2500869906460448,0.0018572404287506554,0.0018259120767644874,4.580266170960578e-05,0.025084812293244704,0.009892775143602974,0.009886790954445938,5.9803783215099306e-05,0.006048856852607616,0.08431841748615125,0.0840668685728438,0.0002563060311167459,0.003048835236376827
1,200,5.0,5.0,200.0,SRDM,0.05,0.25,0.001818164621040027,0.0018181646210401587,7.139080993034952e-16,3.926531684986113e-13,0.009606610582237928,0.009606610582237452,2.140065631655612e-15,2.227701032883103e-13,0.0766506306710268,0.0766506306710114,1.5404344466674047e-14,2.009682677340297e-13
1,200,5.0,5.0,200.0,CRIS,0.05005405943066226,0.2501605098714351,0.0018780627946970775,0.0018181646210401587,9.765311191956608e-05,0.05370971956527207,0.0096311206338194,0.009606610582237452,0.00015110040435510025,0.015728794569281668,0.07749444539534532,0.0766506306710114,0.0008448192478984068,0.011021686847227862
1,400,2.5,2.5,100.0,SRDM,0.05,0.25,0.0009090823105200194,0.0009090823105202411,5.130791624896602e-16,5.643924170035165e-13,0.00679289948691895,0.006792899486918615,1.5345815682197659e-15,2.2590965333359888e-13,0.07665063067102908,0.07665063067101367,1.5404344466674047e-14,2.0096826773402373e-13
1,400,2.5,2.5,100.0,CRIS,0.05005405943066386,0.2501754390693486,0.0009810020161596018,0.0009090823105202411,9.103576759756999e-05,0.10014029152703774,0.006810556407211229,0.006792899486918615,0.00012808475664926203,0.018855682598560523,0.07749740103995749,0.07665063067101367,0.0008473610177409663,0.011054847302925138
