beta,N,method,accepted_steps,rejected_steps,N_J,N_K,N_R,W,seconds
1,100,SRDM,20,0,100,82,220,402,0.9687956999987364
1,100,CRIS,20,0,101,101,121,323,0.4888485000010405
1,200,SRDM,40,0,198,162,436,796,0.355718099999649
1,200,CRIS,40,0,201,201,241,643,0.5615264999996725
1,400,SRDM,80,0,394,330,872,1596,0.4531416999998328
1,400,CRIS,80,0,401,401,481,1283,0.7051122000011674
1,800,SRDM,160,0,785,666,1739,3190,0.9307678000004671
1,800,CRIS,160,0,801,801,961,2563,1.3733852000004845
1,1600,SRDM,320,0,1558,1367,3465,6390,2.7445196000007854
1,1600,CRIS,320,0,1601,1601,1921,5123,3.574939899999663
1,3200,SRDM,640,0,3110,2737,6937,12784,10.298392599999715
1,3200,CRIS,640,0,3201,3201,3841,10243,10.040529199999582
10,2000,SRDM,40,0,203,203,449,855,1.344575300001452
10,2000,CRIS,40,0,241,241,281,763,0.8525627999988501
10,4000,SRDM,80,0,403,403,889,1695,1.7895506999993813
10,4000,CRIS,80,0,481,481,561,1523,2.033903699997609
10,8000,SRDM,160,0,803,803,1769,3375,6.628893500001141
10,8000,CRIS,160,0,961,961,1121,3043,7.319357799999125
10,10000,SRDM,200,0,1003,1003,2208,4214,11.117837299996609
10,10000,CRIS,200,0,1201,1201,1401,3803,12.011126299999887
10,16000,SRDM,320,0,1603,1603,3529,6735,28.159757000001264
10,16000,CRIS,320,0,1921,1921,2241,6083,31.15419209999891
100,8000,SRDM,16,0,97,97,214,408,1.0249629999998433
100,8000,CRIS,16,0,100,100,116,316,1.050592299998243
100,16000,SRDM,32,0,193,193,426,812,3.7009861999977147
100,16000,CRIS,32,0,196,196,228,620,3.7614040000007662
100,20000,SRDM,40,0,241,241,534,1016,5.516453399999591
100,20000,CRIS,40,0,244,244,284,772,5.450163199999224
100,32000,SRDM,64,0,385,385,851,1621,12.912773099997139
100,32000,CRIS,64,0,399,399,463,1261,13.747119799998472
1000,20000,SRDM,4,0,25,25,56,106,0.8846293999995396
1000,20000,CRIS,4,0,29,29,33,91,1.12630419999914
1000,40000,SRDM,8,0,49,49,108,206,2.4655028999986826
1000,40000,CRIS,8,0,57,57,65,179,2.84481070000038
1000,50000,SRDM,10,0,61,61,135,257,3.903995999997278
1000,50000,CRIS,10,0,70,70,80,220,4.4292267999990145
1000,80000,SRDM,16,0,97,97,213,407,9.110846700001275
1000,80000,CRIS,16,0,106,106,122,334,10.969812600000296
