iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
1,0,rejected,1,9.67341e-06,5.90814e-09,7.991e-10,7.991e-10,1.01085e-09,1.01085e-09,0.95945,0.105816,0.850465,0.0156335,0.0251676,0.0251673,0,,
2,0,rejected,0,9.67341e-06,5.90814e-08,7.991e-10,7.991e-10,1.01085e-09,1.01085e-09,0,0,0,0.0121393,0.0236634,0.0236632,0,,
3,0,rejected,0,9.67341e-06,5.90814e-07,7.991e-10,7.991e-10,1.01085e-09,1.01085e-09,0,0,0,0.0118206,0.0242641,0.0242638,0,,
4,1,accepted,0,9.67341e-06,2.95407e-07,5.8269e-10,5.8269e-10,6.46769e-10,6.46769e-10,0,0,0,0.0122071,0.0506181,0.0240522,0.0265658,checkpoint_4.bin,best_validation_checkpoint_1.bin
5,2,accepted,1,1.32354e-05,1.47703e-07,5.42108e-10,5.42108e-10,6.10121e-10,6.10121e-10,0.888073,0.069981,0.815982,0.0114698,0.0441049,0.0218649,0.02224,,best_validation_checkpoint_0.bin
6,3,accepted,1,2.25534e-05,7.38517e-08,5.09518e-10,5.09518e-10,5.89441e-10,5.89441e-10,0.945054,0.0698852,0.873299,0.0115743,0.0444074,0.0221154,0.022292,,best_validation_checkpoint_1.bin
7,4,accepted,1,2.80198e-05,3.69259e-08,4.80949e-10,4.80949e-10,5.775e-10,5.775e-10,0.925383,0.069972,0.853697,0.0110575,0.0449687,0.0226752,0.0222935,,best_validation_checkpoint_0.bin
8,5,accepted,1,2.71557e-05,1.84629e-08,4.56369e-10,4.56369e-10,5.70261e-10,5.70261e-10,0.911635,0.0696057,0.840197,0.0106241,0.0448012,0.0224057,0.0223954,,best_validation_checkpoint_1.bin
9,6,accepted,1,2.15262e-05,9.23147e-09,4.37694e-10,4.37694e-10,5.66771e-10,5.66771e-10,0.90605,0.0693774,0.834589,0.0122252,0.0455387,0.0230517,0.022487,,best_validation_checkpoint_0.bin
10,7,accepted,1,1.47599e-05,4.61573e-09,4.26224e-10,4.26224e-10,5.67563e-10,5.66771e-10,0.883091,0.068816,0.812334,0.0128412,0.0475268,0.0237394,0.0237872,,
11,8,accepted,1,1.144e-05,2.30787e-09,4.23795e-10,4.23795e-10,5.74857e-10,5.66771e-10,0.926937,0.0726655,0.852229,0.0116002,0.0452971,0.0230034,0.0222937,,
12,8,rejected,1,2.53269e-05,2.30787e-08,4.23795e-10,4.23795e-10,5.74857e-10,5.66771e-10,0.938609,0.0588006,0.877718,0.0148325,0.0247239,0.0247235,0,,
13,9,accepted,0,2.53269e-05,1.15393e-08,4.11022e-10,4.11022e-10,5.62367e-10,5.62367e-10,0,0,0,0.0132448,0.045867,0.0234874,0.0223795,,best_validation_checkpoint_1.bin
14,10,accepted,1,1.25506e-06,5.76967e-09,4.09365e-10,4.09365e-10,5.6272e-10,5.62367e-10,0.983442,0.0644647,0.916142,0.0153281,0.0528946,0.0290121,0.0238823,,
15,11,accepted,1,3.43689e-06,2.88483e-09,4.07462e-10,4.07462e-10,5.63838e-10,5.62367e-10,1.00375,0.06484,0.936949,0.0129023,0.0453153,0.0230178,0.0222974,,
16,12,accepted,1,8.72196e-06,1.44242e-09,4.06701e-10,4.06701e-10,5.67193e-10,5.62367e-10,0.962422,0.0597675,0.900362,0.0125448,0.0451135,0.0226231,0.0224903,,
17,12,rejected,1,1.98422e-05,1.44242e-08,4.06701e-10,4.06701e-10,5.67193e-10,5.62367e-10,0.962693,0.0645071,0.89602,0.0133564,0.0279453,0.027945,0,,
18,13,accepted,0,1.98422e-05,7.21208e-09,4.0245e-10,4.0245e-10,5.62293e-10,5.62293e-10,0,0,0,0.0125203,0.0526409,0.0276151,0.0250257,,best_validation_checkpoint_0.bin
19,14,accepted,1,8.87195e-07,3.60604e-09,4.01428e-10,4.01428e-10,5.62392e-10,5.62293e-10,0.951452,0.0605816,0.889059,0.0109726,0.0515671,0.0289264,0.0226405,,
20,15,accepted,1,2.69586e-06,1.80302e-09,4.00139e-10,4.00139e-10,5.63094e-10,5.62293e-10,0.937218,0.0602911,0.875013,0.0122803,0.0451362,0.0227066,0.0224295,,
21,15,rejected,1,7.99927e-06,1.80302e-08,4.00139e-10,4.00139e-10,5.63094e-10,5.62293e-10,0.99781,0.0577627,0.93811,0.0118066,0.0224452,0.0224449,0,,
22,16,accepted,0,7.99927e-06,9.01511e-09,3.99242e-10,3.99242e-10,5.62053e-10,5.62053e-10,0,0,0,0.0123021,0.0490984,0.0267869,0.0223113,,best_validation_checkpoint_1.bin
23,17,accepted,1,3.33656e-07,4.50755e-09,3.9863e-10,3.9863e-10,5.62061e-10,5.62053e-10,0.974095,0.0622031,0.909877,0.011378,0.0498613,0.0266737,0.0231875,,
24,18,accepted,1,1.1588e-06,2.25378e-09,3.97649e-10,3.97649e-10,5.62259e-10,5.62053e-10,0.946482,0.0592668,0.885426,0.0122409,0.0452538,0.022909,0.0223448,,
25,19,accepted,1,3.89731e-06,1.12689e-09,3.97098e-10,3.97098e-10,5.63651e-10,5.62053e-10,0.9675,0.059721,0.905877,0.0119246,0.0453803,0.0224478,0.0229324,,
