iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,26.9914,26.9847,27.1499,27.1499,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.5721,0.0005,0.590058,0.586949,0.595409,0.595409,0.914516,0.0820394,0.829103,0.0209501,0.128352,0.0631514,0.0652005,,best_validation_checkpoint_1.bin
2,2,accepted,1,3.75531,0.00025,0.134745,0.133596,0.132358,0.132358,0.87905,0.0779541,0.799404,0.0100575,0.0510955,0.0259333,0.0251621,,best_validation_checkpoint_0.bin
3,3,accepted,1,1.47108,0.000125,0.0441181,0.0433305,0.0433282,0.0433282,0.940762,0.0688457,0.870084,0.0118021,0.0487865,0.0258591,0.0229274,checkpoint_3.bin,best_validation_checkpoint_1.bin
4,3,rejected,1,0.452041,0.00125,0.0441181,0.0433305,0.0433282,0.0433282,0.879774,0.0644029,0.813541,0.0109396,0.0129428,0.0129426,0,,
5,4,accepted,0,0.452041,0.000625,0.0172931,0.0168604,0.0163599,0.0163599,0,0,0,0.0103835,0.0509724,0.025507,0.0254653,,best_validation_checkpoint_0.bin
6,5,accepted,1,0.356692,0.0003125,0.00582234,0.00546566,0.00544673,0.00544673,0.913852,0.065892,0.846203,0.0100452,0.0508339,0.0256936,0.0251402,checkpoint_6.bin,best_validation_checkpoint_1.bin
7,6,accepted,1,0.167068,0.00015625,0.00177575,0.00159673,0.00161732,0.00161732,0.915644,0.0627529,0.851174,0.0103628,0.0509498,0.0254419,0.0255078,,best_validation_checkpoint_0.bin
8,7,accepted,1,0.108364,7.8125e-05,0.000763492,0.000642057,0.000648869,0.000648869,0.934366,0.0712454,0.861351,0.0103832,0.0505923,0.0252342,0.0253579,checkpoint_8.bin,best_validation_checkpoint_1.bin
9,7,rejected,1,0.0803874,0.00078125,0.000763492,0.000642057,0.000648869,0.000648869,0.927904,0.0642666,0.861903,0.0101972,0.0129363,0.0129363,0,,
10,8,accepted,0,0.0803874,0.000390625,0.000474861,0.000420048,0.000426025,0.000426025,0,0,0,0.0104526,0.0500036,0.0253326,0.0246709,,best_validation_checkpoint_0.bin
11,9,accepted,1,0.0461611,0.000195313,0.000416203,0.00035394,0.000359896,0.000359896,0.875744,0.0544123,0.819737,0.0104508,0.0496152,0.0256378,0.0239772,,best_validation_checkpoint_1.bin
12,10,accepted,1,0.0515768,9.76563e-05,0.000366359,0.000287138,0.000292617,0.000292617,0.910736,0.0524523,0.856569,0.010221,0.0503124,0.0255257,0.0247866,,best_validation_checkpoint_0.bin
13,11,accepted,1,0.0578732,4.88281e-05,0.000282482,0.000224896,0.000228739,0.000228739,0.879008,0.0529841,0.824249,0.0099864,0.0492288,0.0252331,0.0239955,,best_validation_checkpoint_1.bin
14,12,accepted,1,0.0531891,2.44141e-05,0.000197796,0.000190879,0.000192424,0.000192424,0.862247,0.0534875,0.807004,0.0100708,0.050254,0.0253041,0.0249498,,best_validation_checkpoint_0.bin
15,13,accepted,1,0.0296971,1.2207e-05,0.000192501,0.000187929,0.000188499,0.000188499,0.890293,0.0544821,0.834005,0.0117431,0.0491328,0.0260297,0.023103,,best_validation_checkpoint_1.bin
16,14,accepted,1,0.0463039,6.10352e-06,0.000174634,0.000172995,0.000173618,0.000173618,0.881552,0.0561147,0.823717,0.0108303,0.0488582,0.0256132,0.0232449,,best_validation_checkpoint_0.bin
17,15,accepted,1,0.054041,3.05176e-06,0.000144228,0.00011742,0.000118355,0.000118355,0.892687,0.0539711,0.835144,0.019344,0.0513623,0.0268219,0.0245403,,best_validation_checkpoint_1.bin
18,15,rejected,1,0.0563043,3.05176e-05,0.000144228,0.00011742,0.000118355,0.000118355,0.883442,0.0532431,0.828419,0.0108048,0.0127218,0.0127216,0,,
19,16,accepted,0,0.0563043,1.52588e-05,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0,0,0,0.0113818,0.0496012,0.025039,0.0245621,checkpoint_19.bin,best_validation_checkpoint_0.bin
20,16,rejected,1,0.00539936,0.000152588,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0.874814,0.0548312,0.818125,0.0108103,0.0127479,0.0127477,0,,
21,16,rejected,0,0.00539936,0.00152588,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0,0,0,0.0096106,0.0129021,0.012902,0,,
22,16,rejected,0,0.00539936,0.0152588,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0,0,0,0.0102685,0.0129168,0.0129166,0,,
23,16,rejected,0,0.00539936,0.152588,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0,0,0,0.0114098,0.0129448,0.0129446,0,,
24,16,rejected,0,0.00539936,1.52588,2.9528e-05,2.88583e-05,2.94386e-05,2.94386e-05,0,0,0,0.0101166,0.0128014,0.0128012,0,,
25,17,accepted,0,0.00539936,0.762939,2.88062e-05,2.79386e-05,2.8523e-05,2.8523e-05,0,0,0,0.0103628,0.0495853,0.0251821,0.0244032,,best_validation_checkpoint_1.bin
26,18,accepted,1,0.000813851,0.38147,2.87065e-05,2.78479e-05,2.84347e-05,2.84347e-05,0.862525,0.054577,0.805931,0.0109043,0.0502232,0.0260968,0.0241264,,best_validation_checkpoint_0.bin
27,19,accepted,1,0.000395937,0.190735,2.86671e-05,2.78296e-05,2.84178e-05,2.84178e-05,0.868817,0.0550113,0.81191,0.0113652,0.0490752,0.0245095,0.0245655,,best_validation_checkpoint_1.bin
28,20,accepted,1,0.000144702,0.0953674,2.86487e-05,2.78147e-05,2.84048e-05,2.84048e-05,0.926898,0.0545145,0.870514,0.01085,0.0494588,0.0249879,0.0244707,,best_validation_checkpoint_0.bin
