iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,27.8018,27.7479,27.8995,27.8995,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.4883,0.0005,0.685712,0.651979,0.660847,0.660847,1.07143,0.15296,0.913316,0.0469026,0.051057,0.0286867,0.0223703,,best_validation_checkpoint_1.bin
2,2,accepted,1,5.04111,0.00025,0.122443,0.0974515,0.0966352,0.0966352,1.10406,0.0839313,1.01773,0.0180784,0.0534068,0.0281385,0.0252682,checkpoint_2.bin,best_validation_checkpoint_0.bin
3,3,accepted,1,0.876971,0.000125,0.0852849,0.0759079,0.075797,0.075797,0.948795,0.0748219,0.871771,0.0124262,0.0496958,0.0254281,0.0242676,,best_validation_checkpoint_1.bin
4,3,rejected,1,0.794384,0.00125,0.0852849,0.0759079,0.075797,0.075797,0.885391,0.0686496,0.814958,0.0117611,0.0126145,0.0126143,0,,
5,3,rejected,0,0.794384,0.0125,0.0852849,0.0759079,0.075797,0.075797,0,0,0,0.0108771,0.0125245,0.0125242,0,,
6,4,accepted,0,0.794384,0.00625,0.0205724,0.0140677,0.0141986,0.0141986,0,0,0,0.0104683,0.0495878,0.0249076,0.0246801,,best_validation_checkpoint_0.bin
7,5,accepted,1,0.451302,0.003125,0.00845325,0.00516054,0.00520462,0.00520462,0.931253,0.0681643,0.861284,0.0106559,0.0495463,0.0257742,0.0237721,checkpoint_7.bin,best_validation_checkpoint_1.bin
8,6,accepted,1,0.204478,0.0015625,0.00572504,0.00365483,0.00369441,0.00369441,0.914972,0.067142,0.845985,0.0117322,0.0498812,0.0251517,0.0247293,,best_validation_checkpoint_0.bin
9,7,accepted,1,0.402636,0.00078125,0.00404054,0.0023814,0.00240996,0.00240996,0.985369,0.0686693,0.914768,0.0116249,0.0492839,0.0255802,0.0237036,,best_validation_checkpoint_1.bin
10,7,rejected,1,0.60899,0.0078125,0.00404054,0.0023814,0.00240996,0.00240996,0.93897,0.0691152,0.868114,0.0121779,0.012568,0.012568,0,,
11,8,accepted,0,0.60899,0.00390625,0.00264242,0.00211443,0.00214119,0.00214119,0,0,0,0.0110632,0.0492998,0.0253253,0.0239745,,best_validation_checkpoint_0.bin
