iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,28.2874,27.7479,27.8995,27.8995,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.5654,0.0005,0.991694,0.654127,0.66299,0.66299,0.977636,0.112792,0.861886,0.0133534,0.0493609,0.0249804,0.0243803,,best_validation_checkpoint_1.bin
2,2,accepted,1,5.28364,0.00025,0.364849,0.111542,0.110419,0.110419,0.905772,0.0765519,0.827435,0.0110592,0.0516383,0.025969,0.0256692,,best_validation_checkpoint_0.bin
3,3,accepted,1,2.30815,0.000125,0.331875,0.0860824,0.0860976,0.0860976,1.01709,0.073353,0.941952,0.0102468,0.0509855,0.0257761,0.0252093,checkpoint_3.bin,best_validation_checkpoint_1.bin
4,3,rejected,1,1.71206,0.00125,0.331875,0.0860824,0.0860976,0.0860976,0.967603,0.0680734,0.89784,0.0112277,0.0131247,0.0131245,0,,
5,4,accepted,0,1.71206,0.000625,0.227605,0.150196,0.151268,0.0860976,0,0,0,0.011444,0.0503505,0.0253325,0.0250178,,
6,5,accepted,1,3.4446,0.0003125,0.149662,0.0390865,0.0390512,0.0390512,0.957083,0.0692824,0.883464,0.0730105,0.0715873,0.0394646,0.0321227,,best_validation_checkpoint_0.bin
7,5,rejected,1,2.89171,0.003125,0.149662,0.0390865,0.0390512,0.0390512,1.04605,0.0943719,0.949833,0.011423,0.0124429,0.0124427,0,,
8,6,accepted,0,2.89171,0.0015625,0.0979644,0.0294536,0.0297391,0.0297391,0,0,0,0.0099899,0.0500356,0.025051,0.0249846,,best_validation_checkpoint_1.bin
9,7,accepted,1,4.48782,0.00078125,0.0159746,0.00820667,0.00824977,0.00824977,0.850566,0.0654094,0.783412,0.0105248,0.0491719,0.0248432,0.0243286,checkpoint_9.bin,best_validation_checkpoint_0.bin
10,7,rejected,1,0.499058,0.0078125,0.0159746,0.00820667,0.00824977,0.00824977,0.84542,0.067431,0.776282,0.0117965,0.012492,0.0124918,0,,
11,7,rejected,0,0.499058,0.078125,0.0159746,0.00820667,0.00824977,0.00824977,0,0,0,0.0107333,0.0124073,0.0124072,0,,
12,8,accepted,0,0.499058,0.0390625,0.00726158,0.00323746,0.00328185,0.00328185,0,0,0,0.0108665,0.0497542,0.0248129,0.0249412,,best_validation_checkpoint_1.bin
13,9,accepted,1,0.799355,0.0195312,0.00422955,0.00226156,0.00228665,0.00228665,0.896495,0.0538878,0.840838,0.0111538,0.0461678,0.0247943,0.0213735,,best_validation_checkpoint_0.bin
14,10,accepted,1,0.107577,0.00976562,0.00367269,0.00199203,0.00201088,0.00201088,0.882756,0.055218,0.825714,0.0105294,0.0500371,0.0253657,0.0246713,,best_validation_checkpoint_1.bin
15,11,accepted,1,0.0307262,0.00488281,0.00324426,0.00175058,0.00176382,0.00176382,0.844446,0.0541524,0.788417,0.0110229,0.0497702,0.0251904,0.0245796,,best_validation_checkpoint_0.bin
16,12,accepted,1,0.030083,0.00244141,0.00299298,0.00150906,0.00151743,0.00151743,0.849259,0.0548555,0.792586,0.0096817,0.0492706,0.024941,0.0243295,,best_validation_checkpoint_1.bin
17,13,accepted,1,2.62959,0.0012207,0.0026208,0.00127946,0.00128401,0.00128401,0.84291,0.0551765,0.785877,0.012142,0.0471625,0.0252724,0.02189,,best_validation_checkpoint_0.bin
18,13,rejected,1,5.8747,0.012207,0.0026208,0.00127946,0.00128401,0.00128401,0.833344,0.0534454,0.778036,0.0099949,0.0132666,0.0132664,0,,
19,13,rejected,0,5.8747,0.12207,0.0026208,0.00127946,0.00128401,0.00128401,0,0,0,0.0116561,0.0127449,0.0127446,0,,
20,14,accepted,0,5.8747,0.0610352,0.00257881,0.00127218,0.00127615,0.00127615,0,0,0,0.0112278,0.0505424,0.0261239,0.0244184,,best_validation_checkpoint_1.bin
21,15,accepted,1,2.30649,0.0305176,0.00236117,0.00126163,0.00126575,0.00126575,0.854224,0.0548936,0.797586,0.0108073,0.0472861,0.0247674,0.0225187,,best_validation_checkpoint_0.bin
22,16,accepted,1,0.898293,0.0152588,0.00230557,0.00124557,0.00124965,0.00124965,0.852844,0.0560702,0.7949,0.0116377,0.0492506,0.0249105,0.02434,,best_validation_checkpoint_1.bin
23,17,accepted,1,0.11192,0.00762939,0.00224691,0.0012133,0.00121716,0.00121716,0.839094,0.0561915,0.781059,0.0102747,0.0502508,0.025212,0.0250387,,best_validation_checkpoint_0.bin
24,18,accepted,1,0.0966506,0.0038147,0.00215722,0.00115974,0.00116315,0.00116315,0.846017,0.0549418,0.789238,0.0106846,0.0492555,0.0249526,0.0243028,,best_validation_checkpoint_1.bin
25,19,accepted,1,0.67711,0.00190735,0.00213395,0.00107612,0.00107886,0.00107886,0.862657,0.0539621,0.806901,0.0114464,0.050087,0.0252245,0.0248624,,best_validation_checkpoint_0.bin
26,19,rejected,1,3.92061,0.0190735,0.00213395,0.00107612,0.00107886,0.00107886,0.88961,0.0554681,0.832319,0.012126,0.01255,0.0125498,0,,
27,19,rejected,0,3.92061,0.190735,0.00213395,0.00107612,0.00107886,0.00107886,0,0,0,0.0110357,0.0125596,0.0125593,0,,
28,20,accepted,0,3.92061,0.0953674,0.00209162,0.00107145,0.00107447,0.00107447,0,0,0,0.0105221,0.0492481,0.0248287,0.0244193,,best_validation_checkpoint_1.bin
29,21,accepted,1,2.27933,0.0476837,0.00199057,0.00106918,0.00107221,0.00107221,0.840455,0.0545058,0.784059,0.0112702,0.049323,0.0252246,0.0240984,,best_validation_checkpoint_0.bin
30,22,accepted,1,0.289258,0.0238419,0.00197385,0.00106236,0.00106549,0.00106549,0.858182,0.0535759,0.802839,0.0100988,0.0492577,0.0251909,0.0240667,,best_validation_checkpoint_1.bin
31,23,accepted,1,0.0395954,0.0119209,0.00194997,0.00104951,0.00105265,0.00105265,0.868875,0.0555709,0.811519,0.01078,0.0503444,0.0249098,0.0254346,,best_validation_checkpoint_0.bin
32,24,accepted,1,0.00937598,0.00596046,0.00190637,0.00102549,0.00102858,0.00102858,0.880191,0.053746,0.824727,0.0111475,0.0460014,0.0248473,0.021154,,best_validation_checkpoint_1.bin
33,25,accepted,1,0.0295002,0.00298023,0.00183116,0.000983104,0.000986095,0.000986095,0.843525,0.0541053,0.78735,0.0102717,0.0494891,0.0251459,0.024343,checkpoint_33.bin,best_validation_checkpoint_0.bin
34,26,accepted,1,0.269164,0.00149012,0.00174246,0.000913747,0.000916545,0.000916545,0.886223,0.0544353,0.829843,0.0118041,0.048756,0.0245382,0.0242178,,best_validation_checkpoint_1.bin
35,27,accepted,1,1.89401,0.000745058,0.00163938,0.000811241,0.000813884,0.000813884,0.870543,0.0547377,0.813865,0.0115345,0.0482071,0.0251501,0.0230569,,best_validation_checkpoint_0.bin
36,27,rejected,1,3.73554,0.00745058,0.00163938,0.000811241,0.000813884,0.000813884,0.98204,0.0617126,0.91839,0.0122545,0.0123506,0.0123502,0,,
37,27,rejected,0,3.73554,0.0745058,0.00163938,0.000811241,0.000813884,0.000813884,0,0,0,0.0111461,0.013343,0.0133428,0,,
38,27,rejected,0,3.73554,0.745058,0.00163938,0.000811241,0.000813884,0.000813884,0,0,0,0.0119509,0.0138662,0.0138658,0,,
