iteration,accepted_updates,status,linearization_refreshed,mean_mse_gradient_norm,lambda,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,27.7479,27.8995,27.8995,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.4797,0.0005,0.651748,0.660616,0.660616,0.502139,0.054023,0.44505,0.0154387,0.0372962,0.0128807,0.0244153,,best_validation_checkpoint_1.bin
2,2,accepted,1,5.01583,0.00025,0.0939986,0.0932958,0.0932958,0.494626,0.05309,0.439548,0.0109277,0.0369127,0.0127803,0.0241324,checkpoint_2.bin,best_validation_checkpoint_0.bin
3,3,accepted,1,0.756761,0.000125,0.0813137,0.0810514,0.0810514,0.446399,0.0436676,0.401012,0.0120155,0.0364495,0.0124826,0.0239667,,best_validation_checkpoint_1.bin
4,3,rejected,1,0.93844,0.00125,0.0813137,0.0810514,0.0810514,0.463176,0.0415061,0.419749,0.0110911,0.0123469,0.0123467,0,,
5,3,rejected,0,0.93844,0.0125,0.0813137,0.0810514,0.0810514,0,0,0,0.0116969,0.0127114,0.0127112,0,,
6,4,accepted,0,0.93844,0.00625,0.0144974,0.014665,0.014665,0,0,0,0.0119921,0.0368038,0.0139735,0.0228302,,best_validation_checkpoint_0.bin
7,5,accepted,1,0.248739,0.003125,0.00537649,0.00541577,0.00541577,0.50521,0.0452818,0.458019,0.0107432,0.0374338,0.0125637,0.02487,checkpoint_7.bin,best_validation_checkpoint_1.bin
8,6,accepted,1,0.052981,0.0015625,0.00361024,0.00365067,0.00365067,0.464336,0.0405875,0.422006,0.0113018,0.037125,0.0123437,0.0247813,,best_validation_checkpoint_0.bin
9,7,accepted,1,0.0792575,0.00078125,0.00254573,0.00257404,0.00257404,0.482655,0.0418787,0.438984,0.0201383,0.0385061,0.0137081,0.0247979,,best_validation_checkpoint_1.bin
10,8,accepted,1,0.0745221,0.000390625,0.00175299,0.00176588,0.00176588,0.485663,0.0468512,0.437096,0.0119419,0.0381515,0.0130614,0.0250901,,best_validation_checkpoint_0.bin
11,9,accepted,1,0.0668094,0.000195313,0.00137583,0.0013814,0.0013814,0.443762,0.0312685,0.41071,0.010755,0.0371881,0.012722,0.024466,,best_validation_checkpoint_1.bin
12,10,accepted,1,0.0957898,9.76563e-05,0.00118933,0.0011881,0.0011881,0.438876,0.0301701,0.406957,0.0109505,0.0359825,0.0123772,0.0236052,,best_validation_checkpoint_0.bin
13,11,accepted,1,0.120948,4.88281e-05,0.000701145,0.000704053,0.000704053,0.447805,0.030436,0.415567,0.0113816,0.0368636,0.0123624,0.024501,checkpoint_13.bin,best_validation_checkpoint_1.bin
14,11,rejected,1,0.0889179,0.000488281,0.000701145,0.000704053,0.000704053,0.427157,0.0302049,0.395296,0.0114826,0.0123921,0.0123918,0,,
15,12,accepted,0,0.0889179,0.000244141,0.000430222,0.000433632,0.000433632,0,0,0,0.0112402,0.0367865,0.0122959,0.0244905,,best_validation_checkpoint_0.bin
16,13,accepted,1,0.0210392,0.00012207,0.000365696,0.000369041,0.000369041,0.495534,0.031597,0.462147,0.0125835,0.0377666,0.0128705,0.024896,,best_validation_checkpoint_1.bin
17,14,accepted,1,0.0236392,6.10352e-05,0.000342928,0.00034556,0.00034556,0.463262,0.0319568,0.429628,0.011062,0.0371329,0.0123672,0.0247656,,best_validation_checkpoint_0.bin
18,14,rejected,1,0.055966,0.000610352,0.000342928,0.00034556,0.00034556,0.465672,0.0314615,0.432374,0.0106543,0.0131669,0.0131666,0,,
19,15,accepted,0,0.055966,0.000305176,0.000252501,0.000256459,0.000256459,0,0,0,0.0108736,0.0370753,0.0124869,0.0245882,,best_validation_checkpoint_1.bin
20,16,accepted,1,0.00210441,0.000152588,0.00022968,0.000233531,0.000233531,0.465671,0.0321688,0.431096,0.0111168,0.0369145,0.0125264,0.024388,,best_validation_checkpoint_0.bin
21,17,accepted,1,0.0074486,7.62939e-05,0.000208519,0.000211832,0.000211832,0.490607,0.0298105,0.459085,0.0110566,0.0370659,0.0123923,0.0246735,,best_validation_checkpoint_1.bin
22,17,rejected,1,0.0193903,0.000762939,0.000208519,0.000211832,0.000211832,0.449726,0.0297998,0.418054,0.0105155,0.0122949,0.0122946,0,,
